,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand b184Z,brand v177j,brand N97e,brand I232M,brand V209V,brand P144q,brand f129w,brand j12s,brand Y213j,brand N239O,brand B197q,brand Z240w,brand H165f
0,0,0,06/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,08/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,09/04/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,3,3,18/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,11/05/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,5,12/05/2017,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
6,6,6,12/05/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,7,14/05/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,8,8,28/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,9,9,12/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,23/06/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,11,11,24/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,25/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,25/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,28/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,07/07/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,16,16,01/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,08/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,08/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,12/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,18/08/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,21,21,23/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,24/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,23,23,27/08/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,24,24,04/09/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,25,25,06/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,19/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,05/10/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,28,28,11/10/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,29,29,13/10/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,30,30,18/10/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,31,31,25/10/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,03/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,04/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,17/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,35,18/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,21/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,37,24/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,38,38,03/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,03/12/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,40,40,04/12/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,41,41,10/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,42,12/12/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,43,43,22/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,44,25/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,27/12/2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,46,46,01/01/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,47,47,06/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,09/01/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,49,49,19/01/2018,0,3,0,0,0,0,0,0,0,0,0,0,0,0
50,50,50,19/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,51,23/01/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,52,52,28/01/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,53,53,05/02/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,54,54,05/02/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,55,55,05/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,06/02/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,57,57,07/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,58,13/02/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,59,59,18/02/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,60,60,31/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,61,04/04/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,62,62,10/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,11/04/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,64,64,15/04/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,65,65,20/04/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,66,66,03/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,67,21/05/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,68,68,13/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,69,19/06/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,70,70,29/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,71,04/07/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,72,72,08/07/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,73,73,23/07/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,74,74,30/07/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,75,75,01/08/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,76,76,01/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,77,27/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,78,09/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,14/09/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,80,80,19/09/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,81,81,25/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,29/09/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,83,83,29/09/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,84,84,30/09/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,85,85,19/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,86,28/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,28/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,28/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,89,29/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,90,04/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,91,09/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,09/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,24/11/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,94,94,05/12/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,95,95,07/12/2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,96,96,11/12/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,97,97,14/12/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,98,98,20/12/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,99,99,24/12/2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,100,100,08/01/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,101,101,14/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,102,16/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,103,23/01/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,104,104,30/01/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,105,105,01/02/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,106,106,09/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,107,21/02/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,108,108,22/02/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,109,109,23/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,110,110,01/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,111,111,01/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,112,112,06/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,113,113,08/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,114,114,12/04/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,115,115,20/04/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,116,28/06/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,117,117,04/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,118,118,05/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,119,05/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,120,120,11/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,121,121,11/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,122,12/07/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,123,123,14/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,124,15/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,125,15/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,126,17/07/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,127,127,17/07/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,128,128,27/07/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,129,129,27/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,130,130,27/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,131,28/07/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,132,132,29/07/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,133,133,03/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134,134,134,07/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,135,135,01/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,136,136,03/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,137,137,03/10/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,138,03/10/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,139,139,08/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,140,140,19/10/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,141,141,21/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,142,142,01/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,143,143,05/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,144,144,10/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,145,145,10/11/2019,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
146,146,146,10/11/2019,0,0,2,0,0,0,0,0,0,0,0,0,0,0
147,147,147,10/11/2019,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
148,148,148,10/11/2019,0,0,0,0,0,0,0,0,-2,0,0,0,0,0
149,149,149,10/11/2019,0,0,0,0,0,0,0,0,4,0,0,0,0,0
150,150,150,10/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,151,151,10/11/2019,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
152,152,152,11/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,153,153,11/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154,154,154,12/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,155,155,12/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,156,156,12/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
157,157,157,12/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,158,158,17/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
159,159,159,18/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,160,160,21/11/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,161,161,22/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,162,162,28/11/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,163,163,28/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,164,164,30/11/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,165,04/12/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0
166,166,166,04/12/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
167,167,167,28/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,168,168,28/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,169,169,02/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,170,170,04/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,171,171,19/01/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,172,19/01/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,173,26/01/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,174,174,26/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,175,175,29/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,176,176,10/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,177,177,19/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,178,178,25/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,179,179,28/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,180,180,29/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,181,181,01/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182,182,182,02/03/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,183,183,05/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
184,184,184,14/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185,185,185,17/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
186,186,186,14/07/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,187,187,07/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,188,188,13/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,189,189,23/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,190,190,26/08/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,191,191,31/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,192,192,01/09/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,193,01/09/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,194,194,11/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,195,195,12/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,196,196,19/09/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
197,197,197,19/09/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,198,19/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,199,199,22/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,200,200,23/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201,201,201,23/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,202,202,09/10/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0
203,203,203,09/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,204,204,14/10/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,205,205,14/10/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,206,206,17/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
207,207,207,29/10/2020,0,0,0,0,0,0,3,0,0,0,0,0,0,0
208,208,208,25/11/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,209,01/12/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
210,210,210,01/12/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,211,211,05/12/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,212,212,17/12/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,213,213,03/01/2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0
214,214,214,03/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,215,215,03/01/2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,216,216,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,217,217,03/01/2021,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
218,218,218,03/01/2021,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
219,219,219,03/01/2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,220,220,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,221,221,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,222,222,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223,223,223,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
224,224,224,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,225,225,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,226,226,03/01/2021,0,0,0,0,0,0,2,0,0,0,0,0,0,0
227,227,227,04/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228,228,228,07/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,229,229,10/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,230,230,27/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,231,231,30/01/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
232,232,232,09/02/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,233,233,28/02/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
234,234,234,02/03/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
235,235,235,03/07/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,236,236,16/07/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
237,237,237,12/10/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,238,238,17/10/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,239,239,22/10/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240,240,240,13/11/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,241,241,18/11/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
