,Unnamed: 0,Date,brand t140p,brand v177j,brand T75q,brand w32S,brand G56h
0,0,02/04/2017,1,0,0,0,0
1,1,03/04/2017,1,0,0,0,0
2,2,09/04/2017,0,0,1,0,0
3,3,11/04/2017,0,0,1,0,0
4,4,14/04/2017,0,1,0,0,0
5,5,29/04/2017,0,1,0,0,0
6,6,01/05/2017,1,0,0,0,0
7,7,04/05/2017,0,-1,0,0,0
8,8,06/05/2017,1,0,0,0,0
9,9,06/05/2017,1,0,0,0,0
10,10,13/06/2017,1,0,0,0,0
11,11,16/06/2017,0,0,1,0,0
12,12,19/06/2017,0,0,1,0,0
13,13,22/06/2017,1,0,0,0,0
14,14,24/06/2017,0,0,1,0,0
15,15,25/06/2017,1,0,0,0,0
16,16,25/06/2017,1,0,0,0,0
17,17,25/06/2017,1,0,0,0,0
18,18,09/07/2017,0,0,1,0,0
19,19,11/07/2017,1,0,0,0,0
20,20,11/07/2017,0,0,1,0,0
21,21,12/07/2017,0,0,1,0,0
22,22,12/07/2017,0,2,0,0,0
23,23,13/07/2017,0,0,1,0,0
24,24,19/07/2017,1,0,0,0,0
25,25,10/08/2017,0,0,1,0,0
26,26,10/08/2017,1,0,0,0,0
27,27,23/08/2017,0,1,0,0,0
28,28,25/08/2017,0,1,0,0,0
29,29,26/08/2017,0,0,1,0,0
30,30,05/09/2017,1,0,0,0,0
31,31,06/09/2017,0,0,1,0,0
32,32,09/09/2017,1,0,0,0,0
33,33,13/09/2017,0,0,1,0,0
34,34,14/09/2017,1,0,0,0,0
35,35,14/09/2017,0,0,1,0,0
36,36,14/09/2017,0,0,1,0,0
37,37,24/09/2017,1,0,0,0,0
38,38,05/10/2017,1,0,0,0,0
39,39,07/10/2017,1,0,0,0,0
40,40,08/10/2017,1,0,0,0,0
41,41,09/10/2017,1,0,0,0,0
42,42,09/10/2017,0,0,1,0,0
43,43,10/10/2017,1,0,0,0,0
44,44,11/10/2017,1,0,0,0,0
45,45,11/10/2017,1,0,0,0,0
46,46,21/10/2017,1,0,0,0,0
47,47,28/10/2017,1,0,0,0,0
48,48,29/10/2017,0,1,0,0,0
49,49,29/10/2017,1,0,0,0,0
50,50,30/10/2017,1,0,0,0,0
51,51,12/11/2017,0,0,1,0,0
52,52,21/11/2017,0,0,1,0,0
53,53,23/11/2017,0,0,1,0,0
54,54,24/11/2017,0,0,1,0,0
55,55,25/11/2017,1,0,0,0,0
56,56,25/11/2017,1,0,0,0,0
57,57,26/11/2017,1,0,0,0,0
58,58,26/11/2017,3,0,0,0,0
59,59,26/11/2017,0,0,1,0,0
60,60,02/12/2017,1,0,0,0,0
61,61,03/12/2017,1,0,0,0,0
62,62,04/12/2017,1,0,0,0,0
63,63,05/12/2017,1,0,0,0,0
64,64,05/12/2017,-1,0,0,0,0
65,65,07/12/2017,0,1,0,0,0
66,66,12/12/2017,0,0,3,0,0
67,67,16/12/2017,1,0,0,0,0
68,68,19/12/2017,2,0,0,0,0
69,69,21/12/2017,0,0,-2,0,0
70,70,21/12/2017,0,1,0,0,0
71,71,21/12/2017,0,0,0,1,0
72,72,21/12/2017,1,0,0,0,0
73,73,22/12/2017,0,1,0,0,0
74,74,22/12/2017,0,1,0,0,0
75,75,24/12/2017,0,1,0,0,0
76,76,25/12/2017,0,0,0,1,0
77,77,25/12/2017,1,0,0,0,0
78,78,26/12/2017,0,0,1,0,0
79,79,29/12/2017,1,0,0,0,0
80,80,30/12/2017,1,0,0,0,0
81,81,06/01/2018,1,0,0,0,0
82,82,15/01/2018,1,0,0,0,0
83,83,18/01/2018,0,0,1,0,0
84,84,20/01/2018,0,0,1,0,0
85,85,25/01/2018,0,1,0,0,0
86,86,26/01/2018,1,0,0,0,0
87,87,27/01/2018,1,0,0,0,0
88,88,27/01/2018,1,0,0,0,0
89,89,05/02/2018,1,0,0,0,0
90,90,09/02/2018,0,0,1,0,0
91,91,11/02/2018,0,0,1,0,0
92,92,24/02/2018,1,0,0,0,0
93,93,25/02/2018,0,0,1,0,0
94,94,09/03/2018,1,0,0,0,0
95,95,10/03/2018,0,1,0,0,0
96,96,11/03/2018,1,0,0,0,0
97,97,16/03/2018,1,0,0,0,0
98,98,17/03/2018,1,0,0,0,0
99,99,19/03/2018,1,0,0,0,0
100,100,20/03/2018,1,0,0,0,0
101,101,30/03/2018,0,0,1,0,0
102,102,31/03/2018,1,0,0,0,0
103,103,03/04/2018,1,0,0,0,0
104,104,14/04/2018,1,0,0,0,0
105,105,15/04/2018,0,0,1,0,0
106,106,29/04/2018,1,0,0,0,0
107,107,30/04/2018,1,0,0,0,0
108,108,04/05/2018,1,0,0,0,0
109,109,10/05/2018,1,0,0,0,0
110,110,13/05/2018,1,0,0,0,0
111,111,26/05/2018,1,0,0,0,0
112,112,27/05/2018,1,0,0,0,0
113,113,29/05/2018,1,0,0,0,0
114,114,02/06/2018,1,0,0,0,0
115,115,06/06/2018,1,0,0,0,0
116,116,07/06/2018,1,0,0,0,0
117,117,07/06/2018,1,0,0,0,0
118,118,07/06/2018,1,0,0,0,0
119,119,09/06/2018,1,0,0,0,0
120,120,09/06/2018,1,0,0,0,0
121,121,09/06/2018,1,0,0,0,0
122,122,09/06/2018,1,0,0,0,0
123,123,11/06/2018,-1,0,0,0,0
124,124,11/06/2018,0,1,0,0,0
125,125,11/06/2018,1,0,0,0,0
126,126,12/06/2018,1,0,0,0,0
127,127,14/06/2018,0,0,1,0,0
128,128,18/06/2018,0,0,1,0,0
129,129,20/06/2018,0,0,1,0,0
130,130,26/06/2018,0,0,1,0,0
131,131,26/06/2018,0,0,0,1,0
132,132,02/07/2018,1,0,0,0,0
133,133,04/07/2018,0,0,0,1,0
134,134,04/07/2018,0,0,0,1,0
135,135,06/07/2018,1,0,0,0,0
136,136,06/07/2018,0,0,1,0,0
137,137,07/07/2018,0,0,0,1,0
138,138,08/07/2018,0,0,0,1,0
139,139,12/07/2018,0,0,2,0,0
140,140,13/07/2018,1,0,0,0,0
141,141,16/07/2018,1,0,0,0,0
142,142,23/07/2018,1,0,0,0,0
143,143,23/07/2018,0,0,0,1,0
144,144,24/07/2018,0,0,0,1,0
145,145,29/07/2018,1,0,0,0,0
146,146,30/07/2018,1,0,0,0,0
147,147,07/08/2018,0,1,0,0,0
148,148,13/08/2018,0,0,1,0,0
149,149,13/08/2018,0,0,1,0,0
150,150,15/08/2018,0,1,0,0,0
151,151,20/08/2018,0,0,2,0,0
152,152,24/08/2018,1,0,0,0,0
153,153,31/08/2018,0,0,1,0,0
154,154,31/08/2018,0,0,0,1,0
155,155,12/09/2018,1,0,0,0,0
156,156,14/09/2018,1,0,0,0,0
157,157,19/09/2018,1,0,0,0,0
158,158,22/09/2018,0,0,1,0,0
159,159,23/09/2018,0,0,0,1,0
160,160,02/10/2018,1,0,0,0,0
161,161,10/10/2018,1,0,0,0,0
162,162,17/10/2018,1,0,0,0,0
163,163,19/10/2018,0,0,1,0,0
164,164,20/10/2018,1,0,0,0,0
165,165,20/10/2018,1,0,0,0,0
166,166,21/10/2018,1,0,0,0,0
167,167,21/10/2018,1,0,0,0,0
168,168,25/10/2018,1,0,0,0,0
169,169,29/10/2018,0,0,1,0,0
170,170,03/11/2018,0,0,0,1,0
171,171,13/11/2018,1,0,0,0,0
172,172,15/11/2018,1,0,0,0,0
173,173,20/11/2018,0,0,1,0,0
174,174,20/11/2018,0,0,0,0,1
175,175,20/11/2018,0,0,1,0,0
176,176,23/11/2018,1,0,0,0,0
177,177,23/11/2018,1,0,0,0,0
178,178,23/11/2018,1,0,0,0,0
179,179,23/11/2018,1,0,0,0,0
180,180,23/11/2018,0,0,0,0,1
181,181,23/11/2018,0,0,0,1,0
182,182,25/11/2018,1,0,0,0,0
183,183,25/11/2018,1,0,0,0,0
184,184,27/11/2018,0,0,1,0,0
185,185,02/12/2018,0,0,1,0,0
186,186,02/12/2018,1,0,0,0,0
187,187,03/12/2018,0,0,1,0,0
188,188,03/12/2018,1,0,0,0,0
189,189,03/12/2018,1,0,0,0,0
190,190,05/12/2018,1,0,0,0,0
191,191,06/12/2018,0,0,1,0,0
192,192,09/12/2018,1,0,0,0,0
193,193,11/12/2018,1,0,0,0,0
194,194,11/12/2018,2,0,0,0,0
195,195,14/12/2018,0,0,1,0,0
196,196,15/12/2018,1,0,0,0,0
197,197,18/12/2018,1,0,0,0,0
198,198,19/12/2018,0,0,1,0,0
199,199,21/12/2018,0,0,1,0,0
200,200,21/12/2018,1,0,0,0,0
201,201,26/12/2018,0,0,1,0,0
202,202,29/12/2018,1,0,0,0,0
203,203,09/01/2019,1,0,0,0,0
204,204,09/01/2019,1,0,0,0,0
205,205,15/01/2019,2,0,0,0,0
206,206,19/01/2019,1,0,0,0,0
207,207,20/01/2019,1,0,0,0,0
208,208,26/01/2019,1,0,0,0,0
209,209,30/01/2019,0,10,0,0,0
210,210,30/01/2019,1,0,0,0,0
211,211,30/01/2019,1,0,0,0,0
212,212,30/01/2019,1,0,0,0,0
213,213,04/02/2019,1,0,0,0,0
214,214,07/02/2019,1,0,0,0,0
215,215,08/02/2019,1,0,0,0,0
216,216,13/02/2019,1,0,0,0,0
217,217,15/02/2019,1,0,0,0,0
218,218,16/02/2019,1,0,0,0,0
219,219,19/02/2019,1,0,0,0,0
220,220,21/02/2019,1,0,0,0,0
221,221,22/02/2019,1,0,0,0,0
222,222,24/02/2019,1,0,0,0,0
223,223,27/02/2019,0,0,1,0,0
224,224,01/03/2019,1,0,0,0,0
225,225,01/03/2019,1,0,0,0,0
226,226,06/03/2019,0,0,1,0,0
227,227,06/03/2019,0,0,4,0,0
228,228,06/03/2019,1,0,0,0,0
229,229,06/03/2019,1,0,0,0,0
230,230,11/03/2019,1,0,0,0,0
231,231,14/03/2019,0,0,1,0,0
232,232,16/03/2019,0,0,0,0,1
233,233,17/03/2019,0,0,0,1,0
234,234,17/03/2019,2,0,0,0,0
235,235,03/04/2019,1,0,0,0,0
236,236,06/04/2019,0,0,1,0,0
237,237,11/04/2019,1,0,0,0,0
238,238,16/04/2019,0,0,0,1,0
239,239,20/04/2019,2,0,0,0,0
240,240,22/04/2019,1,0,0,0,0
241,241,12/06/2019,1,0,0,0,0
242,242,21/06/2019,0,0,0,1,0
243,243,29/06/2019,1,0,0,0,0
244,244,30/06/2019,1,0,0,0,0
245,245,01/07/2019,0,0,0,1,0
246,246,05/07/2019,1,0,0,0,0
247,247,06/07/2019,-1,0,0,0,0
248,248,26/07/2019,1,0,0,0,0
249,249,06/08/2019,1,0,0,0,0
250,250,10/08/2019,1,0,0,0,0
251,251,24/08/2019,1,0,0,0,0
252,252,28/08/2019,0,0,0,0,1
253,253,28/08/2019,0,0,0,0,-1
254,254,28/08/2019,1,0,0,0,0
255,255,08/09/2019,0,0,0,1,0
256,256,11/09/2019,1,0,0,0,0
257,257,13/09/2019,0,0,0,0,1
258,258,13/09/2019,1,0,0,0,0
259,259,15/09/2019,2,0,0,0,0
260,260,18/09/2019,0,0,0,0,1
261,261,23/09/2019,1,0,0,0,0
262,262,26/09/2019,1,0,0,0,0
263,263,27/09/2019,1,0,0,0,0
264,264,27/09/2019,1,0,0,0,0
265,265,29/09/2019,1,0,0,0,0
266,266,29/09/2019,1,0,0,0,0
267,267,30/09/2019,0,0,0,1,0
268,268,02/10/2019,1,0,0,0,0
269,269,03/10/2019,1,0,0,0,0
270,270,04/10/2019,0,0,0,0,1
271,271,05/10/2019,1,0,0,0,0
272,272,06/10/2019,0,0,0,0,1
273,273,06/10/2019,0,0,0,0,1
274,274,07/10/2019,1,0,0,0,0
275,275,09/10/2019,1,0,0,0,0
276,276,14/10/2019,0,0,0,0,1
277,277,15/10/2019,1,0,0,0,0
278,278,23/10/2019,1,0,0,0,0
279,279,28/10/2019,1,0,0,0,0
280,280,29/10/2019,1,0,0,0,0
281,281,02/11/2019,0,0,0,1,0
282,282,06/11/2019,0,0,0,0,1
283,283,10/11/2019,1,0,0,0,0
284,284,10/11/2019,1,0,0,0,0
285,285,10/11/2019,1,0,0,0,0
286,286,11/11/2019,1,0,0,0,0
287,287,12/11/2019,1,0,0,0,0
288,288,15/11/2019,1,0,0,0,0
289,289,20/11/2019,1,0,0,0,0
290,290,20/11/2019,1,0,0,0,0
291,291,22/11/2019,1,0,0,0,0
292,292,24/11/2019,0,0,0,1,0
293,293,29/11/2019,1,0,0,0,0
294,294,29/11/2019,1,0,0,0,0
295,295,29/11/2019,1,0,0,0,0
296,296,30/11/2019,1,0,0,0,0
297,297,30/11/2019,1,0,0,0,0
298,298,30/11/2019,1,0,0,0,0
299,299,04/12/2019,1,0,0,0,0
300,300,09/12/2019,1,0,0,0,0
301,301,14/12/2019,0,0,0,0,1
302,302,14/12/2019,1,0,0,0,0
303,303,15/12/2019,1,0,0,0,0
304,304,15/12/2019,0,0,1,0,0
305,305,19/12/2019,1,0,0,0,0
306,306,19/12/2019,1,0,0,0,0
307,307,22/12/2019,1,0,0,0,0
308,308,22/12/2019,0,0,0,2,0
309,309,25/12/2019,0,0,0,1,0
310,310,25/12/2019,0,0,1,0,0
311,311,27/12/2019,0,0,0,0,1
312,312,28/12/2019,0,0,0,0,1
313,313,28/12/2019,0,0,0,0,1
314,314,31/12/2019,1,0,0,0,0
315,315,05/01/2020,1,0,0,0,0
316,316,06/01/2020,0,0,0,0,1
317,317,07/01/2020,0,0,0,0,1
318,318,09/01/2020,1,0,0,0,0
319,319,11/01/2020,0,0,0,1,0
320,320,13/01/2020,1,0,0,0,0
321,321,23/01/2020,1,0,0,0,0
322,322,03/02/2020,1,0,0,0,0
323,323,10/02/2020,1,0,0,0,0
324,324,13/02/2020,0,0,0,1,0
325,325,14/02/2020,1,0,0,0,0
326,326,14/02/2020,1,0,0,0,0
327,327,20/02/2020,0,0,0,1,0
328,328,21/02/2020,1,0,0,0,0
329,329,21/02/2020,1,0,0,0,0
330,330,28/02/2020,0,0,0,0,3
331,331,29/02/2020,1,0,0,0,0
332,332,07/03/2020,0,1,0,0,0
333,333,14/03/2020,1,0,0,0,0
334,334,15/03/2020,0,0,0,1,0
335,335,16/03/2020,0,0,0,0,1
336,336,18/03/2020,1,0,0,0,0
337,337,03/06/2020,0,0,0,1,0
338,338,05/06/2020,1,0,0,0,0
339,339,19/06/2020,1,0,0,0,0
340,340,09/07/2020,0,0,0,1,0
341,341,17/07/2020,0,0,0,1,0
342,342,27/07/2020,1,0,0,0,0
343,343,05/08/2020,1,0,0,0,0
344,344,10/08/2020,0,0,0,1,0
345,345,18/08/2020,1,0,0,0,0
346,346,22/08/2020,0,0,0,0,1
347,347,04/09/2020,0,0,0,1,0
348,348,10/09/2020,0,0,0,1,0
349,349,12/09/2020,0,1,0,0,0
350,350,19/09/2020,0,0,0,1,0
351,351,19/09/2020,0,0,0,0,1
352,352,24/09/2020,0,0,0,0,1
353,353,30/09/2020,0,0,0,1,0
354,354,05/10/2020,1,0,0,0,0
355,355,07/10/2020,1,0,0,0,0
356,356,09/10/2020,1,0,0,0,0
357,357,15/10/2020,0,0,0,0,1
358,358,18/10/2020,1,0,0,0,0
359,359,19/10/2020,0,0,0,0,1
360,360,20/10/2020,1,0,0,0,0
361,361,21/10/2020,0,0,0,1,0
362,362,24/10/2020,0,0,0,0,1
363,363,25/10/2020,1,0,0,0,0
364,364,31/10/2020,0,0,1,0,0
365,365,31/10/2020,0,0,0,0,2
366,366,31/10/2020,3,0,0,0,0
367,367,31/10/2020,0,0,0,1,0
368,368,31/10/2020,0,0,0,4,0
369,369,08/11/2020,0,0,0,2,0
370,370,10/11/2020,0,0,0,1,0
371,371,10/11/2020,1,0,0,0,0
372,372,11/11/2020,0,0,0,1,0
373,373,11/11/2020,0,0,0,1,0
374,374,11/11/2020,0,0,0,1,0
375,375,11/11/2020,0,0,0,1,0
376,376,13/11/2020,1,0,0,0,0
377,377,16/11/2020,1,0,0,0,0
378,378,21/11/2020,1,0,0,0,0
379,379,21/11/2020,1,0,0,0,0
380,380,02/12/2020,1,0,0,0,0
381,381,04/12/2020,1,0,0,0,0
382,382,06/12/2020,1,0,0,0,0
383,383,20/12/2020,0,0,0,1,0
384,384,22/12/2020,1,0,0,0,0
385,385,27/12/2020,1,0,0,0,0
386,386,03/01/2021,0,0,0,0,-1
387,387,03/01/2021,0,0,0,-3,0
388,388,03/01/2021,0,-2,0,0,0
389,389,03/01/2021,0,1,0,0,0
390,390,03/01/2021,0,0,0,0,1
391,391,03/01/2021,1,0,0,0,0
392,392,08/01/2021,0,0,0,0,1
393,393,09/01/2021,0,1,0,0,0
394,394,10/01/2021,1,0,0,0,0
395,395,12/01/2021,1,0,0,0,0
396,396,13/01/2021,0,1,0,0,0
397,397,15/01/2021,0,0,1,0,0
398,398,16/01/2021,0,0,0,1,0
399,399,22/01/2021,1,0,0,0,0
400,400,24/01/2021,1,0,0,0,0
401,401,26/01/2021,1,0,0,0,0
402,402,27/01/2021,2,0,0,0,0
403,403,28/01/2021,1,0,0,0,0
404,404,30/01/2021,1,0,0,0,0
405,405,04/02/2021,1,0,0,0,0
406,406,08/02/2021,0,1,0,0,0
407,407,10/02/2021,1,0,0,0,0
408,408,10/02/2021,0,1,0,0,0
409,409,11/02/2021,1,0,0,0,0
410,410,12/02/2021,1,0,0,0,0
411,411,15/02/2021,1,0,0,0,0
412,412,15/02/2021,1,0,0,0,0
413,413,19/02/2021,1,0,0,0,0
414,414,22/02/2021,1,0,0,0,0
415,415,23/02/2021,1,0,0,0,0
416,416,28/02/2021,0,0,1,0,0
417,417,02/03/2021,1,0,0,0,0
418,418,03/03/2021,1,0,0,0,0
419,419,03/03/2021,1,0,0,0,0
420,420,09/03/2021,1,0,0,0,0
421,421,31/03/2021,0,0,2,0,0
422,422,31/03/2021,0,0,-1,0,0
423,423,31/03/2021,0,0,1,0,0
424,424,20/04/2021,0,0,0,1,0
425,425,17/06/2021,0,0,0,1,0
426,426,18/06/2021,1,0,0,0,0
427,427,28/06/2021,0,0,0,1,0
428,428,03/07/2021,0,0,1,0,0
429,429,06/07/2021,1,0,0,0,0
430,430,10/07/2021,0,0,0,1,0
431,431,10/07/2021,0,0,0,1,0
432,432,10/07/2021,0,0,1,0,0
433,433,20/07/2021,1,0,0,0,0
434,434,23/07/2021,1,0,0,0,0
435,435,28/07/2021,0,0,0,1,0
436,436,30/08/2021,1,0,0,0,0
437,437,13/09/2021,0,0,0,1,0
438,438,14/09/2021,0,0,0,0,1
439,439,15/09/2021,0,0,0,2,0
440,440,06/10/2021,0,0,0,1,0
441,441,13/10/2021,0,0,0,0,1
442,442,18/10/2021,1,0,0,0,0
443,443,28/10/2021,0,0,0,1,0
444,444,01/11/2021,1,0,0,0,0
445,445,01/11/2021,0,0,1,0,0
446,446,02/11/2021,1,0,0,0,0
447,447,13/11/2021,0,0,0,1,0
448,448,14/11/2021,0,1,0,0,0
449,449,17/11/2021,0,0,0,1,0
450,450,18/11/2021,1,0,0,0,0
451,451,21/11/2021,0,0,0,1,0
452,452,21/11/2021,1,0,0,0,0
453,453,26/11/2021,0,0,0,1,0
454,454,01/12/2021,1,0,0,0,0
455,455,01/12/2021,0,0,0,1,0
456,456,01/12/2021,0,0,0,1,0
457,457,01/12/2021,0,0,0,0,1
