,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand t140p,brand m179b,brand P144q,brand N239O
0,0,0,09/04/2017,1,0,0,0,0
1,1,1,16/04/2017,1,0,0,0,0
2,2,2,01/05/2017,1,0,0,0,0
3,3,3,16/05/2017,1,0,0,0,0
4,4,4,17/05/2017,-1,0,0,0,0
5,5,5,11/06/2017,1,0,0,0,0
6,6,6,11/06/2017,1,0,0,0,0
7,7,7,12/06/2017,2,0,0,0,0
8,8,8,12/06/2017,1,0,0,0,0
9,9,9,20/06/2017,1,0,0,0,0
10,10,10,21/06/2017,1,0,0,0,0
11,11,11,22/06/2017,2,0,0,0,0
12,12,12,22/06/2017,1,0,0,0,0
13,13,13,23/06/2017,1,0,0,0,0
14,14,14,23/06/2017,1,0,0,0,0
15,15,15,25/06/2017,1,0,0,0,0
16,16,16,25/06/2017,1,0,0,0,0
17,17,17,25/06/2017,2,0,0,0,0
18,18,18,25/06/2017,1,0,0,0,0
19,19,19,25/06/2017,1,0,0,0,0
20,20,20,25/06/2017,1,0,0,0,0
21,21,21,04/07/2017,1,0,0,0,0
22,22,22,04/07/2017,1,0,0,0,0
23,23,23,04/07/2017,1,0,0,0,0
24,24,24,04/07/2017,-1,0,0,0,0
25,25,25,09/07/2017,0,0,0,0,0
26,26,26,19/07/2017,2,0,0,0,0
27,27,27,19/07/2017,1,0,0,0,0
28,28,28,22/07/2017,0,2,0,0,0
29,29,29,22/07/2017,0,1,0,0,0
30,30,30,25/07/2017,2,0,0,0,0
31,31,31,25/07/2017,1,0,0,0,0
32,32,32,29/07/2017,1,0,0,0,0
33,33,33,10/08/2017,1,0,0,0,0
34,34,34,10/08/2017,1,0,0,0,0
35,35,35,15/08/2017,1,0,0,0,0
36,36,36,15/08/2017,1,0,0,0,0
37,37,37,22/08/2017,1,0,0,0,0
38,38,38,23/08/2017,2,0,0,0,0
39,39,39,23/08/2017,2,0,0,0,0
40,40,40,26/08/2017,1,0,0,0,0
41,41,41,26/08/2017,1,0,0,0,0
42,42,42,26/08/2017,1,0,0,0,0
43,43,43,26/08/2017,1,0,0,0,0
44,44,44,28/08/2017,1,0,0,0,0
45,45,45,01/09/2017,2,0,0,0,0
46,46,46,01/09/2017,1,0,0,0,0
47,47,47,07/09/2017,1,0,0,0,0
48,48,48,09/09/2017,1,0,0,0,0
49,49,49,13/09/2017,2,0,0,0,0
50,50,50,13/09/2017,1,0,0,0,0
51,51,51,06/10/2017,1,0,0,0,0
52,52,52,15/10/2017,2,0,0,0,0
53,53,53,15/10/2017,1,0,0,0,0
54,54,54,18/10/2017,1,0,0,0,0
55,55,55,03/11/2017,0,0,1,0,0
56,56,56,19/11/2017,0,0,1,0,0
57,57,57,19/11/2017,1,0,0,0,0
58,58,58,23/11/2017,1,0,0,0,0
59,59,59,02/12/2017,1,0,0,0,0
60,60,60,02/12/2017,1,0,0,0,0
61,61,61,03/01/2018,1,0,0,0,0
62,62,62,09/03/2018,1,0,0,0,0
63,63,63,14/03/2018,1,0,0,0,0
64,64,64,18/03/2018,0,0,1,0,0
65,65,65,21/03/2018,2,0,0,0,0
66,66,66,25/03/2018,1,0,0,0,0
67,67,67,01/04/2018,0,0,1,0,0
68,68,68,07/04/2018,2,0,0,0,0
69,69,69,10/04/2018,0,0,1,0,0
70,70,70,20/04/2018,1,0,0,0,0
71,71,71,04/05/2018,1,0,0,0,0
72,72,72,12/05/2018,1,0,0,0,0
73,73,73,14/05/2018,1,0,0,0,0
74,74,74,14/05/2018,1,0,0,0,0
75,75,75,31/05/2018,1,0,0,0,0
76,76,76,11/06/2018,1,0,0,0,0
77,77,77,11/06/2018,0,0,1,0,0
78,78,78,11/06/2018,1,0,0,0,0
79,79,79,13/06/2018,0,0,2,0,0
80,80,80,16/06/2018,1,0,0,0,0
81,81,81,20/06/2018,0,0,1,0,0
82,82,82,29/06/2018,1,0,0,0,0
83,83,83,30/06/2018,1,0,0,0,0
84,84,84,01/07/2018,1,0,0,0,0
85,85,85,02/07/2018,1,0,0,0,0
86,86,86,02/07/2018,1,0,0,0,0
87,87,87,04/07/2018,1,0,0,0,0
88,88,88,08/07/2018,2,0,0,0,0
89,89,89,15/07/2018,2,0,0,0,0
90,90,90,24/07/2018,1,0,0,0,0
91,91,91,03/08/2018,1,0,0,0,0
92,92,92,04/08/2018,2,0,0,0,0
93,93,93,04/08/2018,1,0,0,0,0
94,94,94,06/08/2018,1,0,0,0,0
95,95,95,09/08/2018,2,0,0,0,0
96,96,96,11/08/2018,1,0,0,0,0
97,97,97,13/08/2018,1,0,0,0,0
98,98,98,17/08/2018,1,0,0,0,0
99,99,99,17/08/2018,1,0,0,0,0
100,100,100,19/08/2018,1,0,0,0,0
101,101,101,31/08/2018,0,0,2,0,0
102,102,102,16/09/2018,0,0,1,0,0
103,103,103,17/09/2018,0,0,1,0,0
104,104,104,09/10/2018,0,1,0,0,0
105,105,105,14/12/2018,1,0,0,0,0
106,106,106,10/01/2019,0,1,0,0,0
107,107,107,22/03/2019,2,0,0,0,0
108,108,108,29/03/2019,3,0,0,0,0
109,109,109,03/05/2019,0,0,1,0,0
110,110,110,14/05/2019,0,0,0,4,0
111,111,111,17/05/2019,0,0,0,3,0
112,112,112,19/05/2019,0,0,0,1,0
113,113,113,20/05/2019,0,0,0,1,0
114,114,114,23/05/2019,0,0,0,1,0
115,115,115,02/06/2019,0,0,0,1,0
116,116,116,04/06/2019,0,0,0,1,0
117,117,117,04/06/2019,0,0,0,1,0
118,118,118,26/06/2019,0,0,1,0,0
119,119,119,02/07/2019,0,0,0,1,0
120,120,120,02/07/2019,0,0,0,1,0
121,121,121,02/07/2019,0,0,0,1,0
122,122,122,03/07/2019,0,0,0,1,0
123,123,123,03/07/2019,0,0,0,1,0
124,124,124,03/07/2019,0,0,0,1,0
125,125,125,05/07/2019,0,0,0,1,0
126,126,126,06/07/2019,0,0,0,2,0
127,127,127,07/07/2019,0,0,0,1,0
128,128,128,10/07/2019,0,0,0,1,0
129,129,129,11/07/2019,0,0,2,0,0
130,130,130,12/07/2019,0,0,0,2,0
131,131,131,13/07/2019,0,0,0,1,0
132,132,132,20/07/2019,0,0,1,0,0
133,133,133,29/07/2019,0,0,1,0,0
134,134,134,29/07/2019,0,0,1,0,0
135,135,135,04/08/2019,0,0,2,0,0
136,136,136,07/08/2019,0,0,1,0,0
137,137,137,17/08/2019,0,0,0,1,0
138,138,138,17/08/2019,0,0,0,1,0
139,139,139,17/08/2019,0,0,0,1,0
140,140,140,17/08/2019,1,0,0,0,0
141,141,141,19/08/2019,0,2,0,0,0
142,142,142,19/08/2019,0,0,1,0,0
143,143,143,20/08/2019,0,2,0,0,0
144,144,144,24/08/2019,0,0,0,1,0
145,145,145,28/08/2019,0,0,1,0,0
146,146,146,31/08/2019,1,0,0,0,0
147,147,147,02/09/2019,0,0,0,1,0
148,148,148,04/09/2019,0,0,0,1,0
149,149,149,11/09/2019,1,0,0,0,0
150,150,150,12/09/2019,0,0,0,1,0
151,151,151,15/09/2019,0,0,1,0,0
152,152,152,22/09/2019,0,0,0,2,0
153,153,153,25/09/2019,0,0,0,1,0
154,154,154,04/10/2019,1,0,0,0,0
155,155,155,07/10/2019,0,0,0,2,0
156,156,156,08/10/2019,0,0,0,1,0
157,157,157,14/10/2019,0,0,0,1,0
158,158,158,25/10/2019,0,2,0,0,0
159,159,159,27/10/2019,0,0,0,1,0
160,160,160,04/11/2019,0,0,0,1,0
161,161,161,10/11/2019,0,0,0,1,0
162,162,162,13/11/2019,0,0,0,1,0
163,163,163,14/11/2019,0,0,0,1,0
164,164,164,16/11/2019,1,0,0,0,0
165,165,165,16/11/2019,0,0,0,1,0
166,166,166,16/11/2019,0,0,0,1,0
167,167,167,16/11/2019,0,0,0,1,0
168,168,168,19/11/2019,0,0,0,1,0
169,169,169,20/11/2019,0,0,0,1,0
170,170,170,20/11/2019,1,0,0,0,0
171,171,171,22/11/2019,1,0,0,0,0
172,172,172,03/12/2019,0,0,0,1,0
173,173,173,07/12/2019,0,0,0,-1,0
174,174,174,08/12/2019,1,0,0,0,0
175,175,175,13/12/2019,0,0,0,1,0
176,176,176,24/12/2019,0,0,0,2,0
177,177,177,25/12/2019,0,0,0,1,0
178,178,178,25/12/2019,1,0,0,0,0
179,179,179,02/01/2020,0,0,0,1,0
180,180,180,02/01/2020,0,0,0,1,0
181,181,181,03/01/2020,0,0,0,1,0
182,182,182,05/01/2020,0,0,0,1,0
183,183,183,07/01/2020,0,0,0,1,0
184,184,184,11/01/2020,0,0,0,1,0
185,185,185,12/01/2020,0,0,0,1,0
186,186,186,12/01/2020,0,0,0,1,0
187,187,187,19/01/2020,0,0,0,-1,0
188,188,188,20/01/2020,0,0,0,1,0
189,189,189,20/01/2020,0,0,0,1,0
190,190,190,21/01/2020,0,0,0,1,0
191,191,191,23/01/2020,0,0,0,1,0
192,192,192,23/01/2020,0,0,0,1,0
193,193,193,04/02/2020,1,0,0,0,0
194,194,194,08/02/2020,0,0,0,1,0
195,195,195,11/02/2020,0,0,0,2,0
196,196,196,13/02/2020,0,0,0,1,0
197,197,197,13/02/2020,0,0,0,1,0
198,198,198,21/02/2020,0,0,0,1,0
199,199,199,26/02/2020,0,0,0,1,0
200,200,200,05/03/2020,0,0,0,2,0
201,201,201,07/03/2020,0,0,0,2,0
202,202,202,11/03/2020,0,0,0,1,0
203,203,203,18/05/2020,0,0,0,1,0
204,204,204,20/05/2020,0,0,0,1,0
205,205,205,04/06/2020,1,0,0,0,0
206,206,206,08/06/2020,0,0,1,0,0
207,207,207,12/06/2020,0,0,0,2,0
208,208,208,12/06/2020,0,0,0,2,0
209,209,209,19/06/2020,0,0,0,2,0
210,210,210,19/06/2020,2,0,0,0,0
211,211,211,24/06/2020,0,0,0,1,0
212,212,212,07/07/2020,0,0,0,1,0
213,213,213,07/07/2020,1,0,0,0,0
214,214,214,08/07/2020,0,0,0,2,0
215,215,215,09/07/2020,0,0,0,1,0
216,216,216,13/07/2020,0,0,0,1,0
217,217,217,15/07/2020,0,0,0,1,0
218,218,218,20/07/2020,0,0,0,1,0
219,219,219,20/07/2020,0,0,0,1,0
220,220,220,20/07/2020,0,0,0,2,0
221,221,221,22/07/2020,0,0,0,1,0
222,222,222,23/07/2020,0,0,0,1,0
223,223,223,24/07/2020,0,0,0,1,0
224,224,224,27/07/2020,1,0,0,0,0
225,225,225,10/08/2020,0,0,0,1,0
226,226,226,12/08/2020,1,0,0,0,0
227,227,227,02/09/2020,0,0,0,1,0
228,228,228,04/09/2020,0,0,0,1,0
229,229,229,07/09/2020,0,0,0,1,0
230,230,230,08/09/2020,0,0,0,1,0
231,231,231,09/09/2020,0,0,0,1,0
232,232,232,10/09/2020,0,0,0,1,0
233,233,233,12/09/2020,0,0,1,0,0
234,234,234,13/09/2020,0,0,0,1,0
235,235,235,15/09/2020,0,1,0,0,0
236,236,236,17/09/2020,0,0,0,4,0
237,237,237,18/09/2020,0,2,0,0,0
238,238,238,20/09/2020,0,0,0,1,0
239,239,239,23/09/2020,0,0,0,1,0
240,240,240,25/09/2020,0,0,0,1,0
241,241,241,26/09/2020,0,0,0,1,0
242,242,242,27/09/2020,0,0,0,1,0
243,243,243,28/09/2020,0,0,0,2,0
244,244,244,29/09/2020,1,0,0,0,0
245,245,245,02/10/2020,0,0,0,1,0
246,246,246,04/10/2020,1,0,0,0,0
247,247,247,04/10/2020,0,0,0,1,0
248,248,248,11/10/2020,0,0,0,1,0
249,249,249,14/10/2020,0,0,0,1,0
250,250,250,16/10/2020,0,0,0,1,0
251,251,251,16/10/2020,0,0,0,2,0
252,252,252,19/10/2020,0,0,0,1,0
253,253,253,19/10/2020,0,0,0,1,0
254,254,254,20/10/2020,0,0,0,1,0
255,255,255,21/10/2020,0,0,0,1,0
256,256,256,23/10/2020,0,0,0,1,0
257,257,257,08/11/2020,0,0,0,1,0
258,258,258,11/11/2020,0,0,0,1,0
259,259,259,11/11/2020,0,0,0,1,0
260,260,260,12/11/2020,0,0,0,1,0
261,261,261,12/11/2020,0,0,0,2,0
262,262,262,17/11/2020,1,0,0,0,0
263,263,263,27/11/2020,0,0,0,0,1
264,264,264,29/11/2020,0,0,0,0,1
265,265,265,29/11/2020,0,0,0,0,1
266,266,266,30/11/2020,0,0,1,0,0
267,267,267,30/11/2020,0,0,0,2,0
268,268,268,01/12/2020,0,0,0,0,1
269,269,269,01/12/2020,0,0,0,0,1
270,270,270,04/12/2020,0,0,0,0,1
271,271,271,07/12/2020,0,0,0,0,1
272,272,272,10/12/2020,0,0,0,1,0
273,273,273,11/12/2020,0,0,0,0,1
274,274,274,12/12/2020,0,0,0,0,1
275,275,275,15/12/2020,0,0,0,2,0
276,276,276,15/12/2020,0,0,0,0,2
277,277,277,19/12/2020,0,0,0,2,0
278,278,278,23/12/2020,0,0,0,1,0
279,279,279,26/12/2020,0,0,1,0,0
280,280,280,29/12/2020,0,0,2,0,0
281,281,281,02/01/2021,0,0,0,0,1
282,282,282,03/01/2021,0,0,0,0,-4
283,283,283,03/01/2021,0,0,0,23,0
284,284,284,03/01/2021,1,0,0,0,0
285,285,285,03/01/2021,0,0,0,1,0
286,286,286,03/01/2021,0,0,0,2,0
287,287,287,03/01/2021,0,0,0,3,0
288,288,288,03/01/2021,0,0,0,11,0
289,289,289,03/01/2021,0,0,0,4,0
290,290,290,03/01/2021,0,0,0,3,0
291,291,291,03/01/2021,0,0,0,2,0
292,292,292,03/01/2021,1,0,0,0,0
293,293,293,03/01/2021,1,0,0,0,0
294,294,294,03/01/2021,4,0,0,0,0
295,295,295,03/01/2021,2,0,0,0,0
296,296,296,03/01/2021,1,0,0,0,0
297,297,297,03/01/2021,0,0,0,0,4
298,298,298,03/01/2021,0,0,1,0,0
299,299,299,12/01/2021,0,0,0,0,1
300,300,300,12/01/2021,0,0,0,0,1
301,301,301,14/01/2021,0,0,0,0,2
302,302,302,22/01/2021,0,0,0,0,1
303,303,303,22/01/2021,0,0,0,0,1
304,304,304,25/01/2021,0,0,0,2,0
305,305,305,27/01/2021,0,0,0,0,3
306,306,306,28/01/2021,0,0,0,0,1
307,307,307,02/02/2021,0,0,0,0,2
308,308,308,06/02/2021,0,0,0,0,1
309,309,309,14/02/2021,0,0,0,0,1
310,310,310,18/02/2021,0,0,0,0,1
311,311,311,23/02/2021,0,0,0,0,1
312,312,312,23/02/2021,0,0,0,0,1
313,313,313,24/02/2021,0,0,0,0,1
314,314,314,27/02/2021,0,0,0,0,1
315,315,315,27/02/2021,0,0,0,0,1
316,316,316,28/02/2021,0,0,0,0,1
317,317,317,01/03/2021,0,0,0,0,1
318,318,318,01/03/2021,0,0,0,0,1
319,319,319,02/03/2021,0,0,0,0,1
320,320,320,05/03/2021,0,0,0,0,1
321,321,321,09/03/2021,0,0,0,0,1
322,322,322,09/03/2021,0,0,0,0,1
323,323,323,11/03/2021,0,0,0,0,1
324,324,324,23/04/2021,0,0,0,0,1
325,325,325,29/04/2021,0,0,0,0,1
326,326,326,05/05/2021,0,0,0,0,1
327,327,327,07/05/2021,0,0,0,0,1
328,328,328,06/07/2021,0,0,0,0,1
329,329,329,11/11/2021,0,1,0,0,0
