Category,Item Code,Item Description,Bar Code,Qty Sold,Avg Rate,Total Avg Amount,Current Pur Rate,Total Current Amount,P N L
NIGHTIES PSC,DV2574,DEVINO,100665,16,"2,946.25","47,140","2,990.00","47,840",-700
NIGHTIES PSC,HRN,HAPPY,100704,13,"2,028.46","26,370","2,490.00","32,370","-6,000"
NIGHTIES PSC,HFO,HAPPY,100771,5,"2,330.00","11,650","2,490.00","12,450",-800
NIGHTIES PSC,T200211,TILSIM,100772,4,"3,290.00","13,160","3,290.00","13,160",0
NIGHTIES PSC,ITMIX,IPEKTEN,100773,3,"3,290.00","9,870","3,290.00","9,870",0
NIGHTIES PSC,AN9518,ANIL,100782,4,"3,567.50","14,270","3,590.00","14,360",-90
NIGHTIES PSC,F6118,NON B,100783,21,650,"13,650",650,"13,650",0
NIGHTIES PSC,AYDOMIXBIG-HS,AYDOGAN,100808,3,"3,790.00","11,370","3,790.00","11,370",0
NIGHTIES PSC,AN9506,ANIL,100843,8,"3,590.00","28,720","3,590.00","28,720",0
NIGHTIES PSC,DS13850,DEEP SLEEP,100906,3,"2,490.00","7,470","2,490.00","7,470",0
NIGHTIES PSC,NBB66014F,NBB,100907,2,"3,590.00","7,180","3,590.00","7,180",0
NIGHTIES PSC,DV,DEVINO,100908,3,"3,390.00","10,170","3,190.00","9,570",600
NIGHTIES PSC,L0760,NON B,100916,3,"2,990.00","8,970","2,990.00","8,970",0
NIGHTIES PSC,L848FO,NON B,100917,25,"1,834.00","45,850","1,990.00","49,750","-3,900"
NIGHTIES PSC,LOO7RN,NON B,100918,12,"1,715.00","20,580","1,990.00","23,880","-3,300"
NIGHTIES PSC,L138K,NON B,100919,6,"2,990.00","17,940","2,990.00","17,940",0
NIGHTIES PSC,L831,NON B,100925,8,"2,490.00","19,920","2,490.00","19,920",0
NIGHTIES PSC,AYDOMIXBIG,AYDOGAN,101003,1,"3,790.00","3,790","3,790.00","3,790",0
NIGHTIES PSC,LB1006,LINGABOOM,101004,2,"3,790.00","7,580","3,790.00","7,580",0
NIGHTIES PSC,LB1036,LINGABOOM,101005,1,"3,990.00","3,990","3,990.00","3,990",0
NIGHTIES PSC,LB1025,LINGABOOM,101006,1,"3,990.00","3,990","3,990.00","3,990",0
NIGHTIES PSC,LB1001,LINGABOOM,101007,2,"3,790.00","7,580","3,790.00","7,580",0
NIGHTIES PSC,LB1029,LINGABOOM,101009,2,"4,590.00","9,180","4,590.00","9,180",0
NIGHTIES PSC,DS13191,DEEP SLEEP,101076,1,"2,990.00","2,990","2,990.00","2,990",0
NIGHTIES PSC,L007RN,NON B,101082,13,"1,897.69","24,670","1,990.00","25,870","-1,200"
NIGHTIES PSC,AN9510,ANIL,101091,1,"3,790.00","3,790","3,790.00","3,790",0
NIGHTIES PSC,AN9589,ANIL,101092,3,"3,790.00","11,370","3,790.00","11,370",0
NIGHTIES PSC,AN9582,ANIL,101093,2,"3,790.00","7,580","3,790.00","7,580",0
NIGHTIES PSC,AY9324,AYDOGAN,101094,3,"3,590.00","10,770","3,590.00","10,770",0
NIGHTIES PSC,EL3019BIG,ELITOL,101095,1,"3,790.00","3,790","3,790.00","3,790",0
NIGHTIES PSS,NK0052,NON BR,100081,3,"3,090.00","9,270","3,090.00","9,270",0
NIGHTIES PSS,NK2113,NON BR,100082,3,"1,995.00","5,985","1,995.00","5,985",0
NIGHTIES PSS,NK549,NON BR,100083,2,"1,995.00","3,990","1,995.00","3,990",0
NIGHTIES PSS,NK547,NON BR,100084,4,"1,995.00","7,980","1,995.00","7,980",0
NIGHTIES PSS,NK2125,NON BR,100085,3,"1,995.00","5,985","1,995.00","5,985",0
NIGHTIES PSS,V3127,VERSACE,100086,2,"12,250.00","24,500","10,500.00","21,000","3,500"
NIGHTIES PSS,V3113,VERSACE,100087,3,"9,590.00","28,770","9,590.00","28,770",0
NIGHTIES PSS,NL1040,NILAY,100088,3,"5,590.00","16,770","5,590.00","16,770",0
NIGHTIES PSS,NL1150,NILAY,100089,4,"5,590.00","22,360","5,590.00","22,360",0
NIGHTIES PSS,PC1160,PIER CARDIN,100090,14,"7,132.86","99,860","7,990.00","111,860","-12,000"
NIGHTIES PSS,PC1140,PIER CARDIN,100091,6,"6,323.33","37,940","7,990.00","47,940","-10,000"
NIGHTIES PSS,NK617,NON BR,100272,15,"1,890.00","28,350","1,890.00","28,350",0
NIGHTIES PSS,NK612,NON BR,100273,10,"1,890.00","18,900","1,890.00","18,900",0
NIGHTIES PSS,NK610,NON BR,100274,17,"1,890.00","32,130","1,890.00","32,130",0
NIGHTIES PSS,NK613,NON BR,100275,14,"1,890.00","26,460","1,890.00","26,460",0
NIGHTIES PSS,NK615,NON BR,100298,12,"2,190.00","26,280","2,190.00","26,280",0
NIGHTIES PSS,NK608,NON BR,100299,11,"2,190.00","24,090","2,190.00","24,090",0
NIGHTIES PSS,NK618,NON BR,100300,6,"1,990.00","11,940","1,990.00","11,940",0
NIGHTIES PSS,NK611,NON BR,100322,10,"2,190.00","21,900","2,190.00","21,900",0
NIGHTIES PSS,NU5692,NURTEKS,100362,12,"6,340.00","76,080","6,990.00","83,880","-7,800"
NIGHTIES PSS,NU5909,NURTEKS,100405,20,"7,850.00","157,000","8,990.00","179,800","-22,800"
NIGHTIES PSS,NK644,NON B,100408,3,"1,923.33","5,770","1,990.00","5,970",-200
NIGHTIES PSS,NK801,NON B,100409,2,"1,890.00","3,780","1,890.00","3,780",0
NIGHTIES PSS,NU5809,NURTEKS,100434,3,"4,723.33","14,170","4,990.00","14,970",-800
NIGHTIES PSS,NU5942,NURTEKS,100435,2,"5,990.00","11,980","8,390.00","16,780","-4,800"
NIGHTIES PSS,RO4159,NON BR,100464,3,"1,990.00","5,970","1,990.00","5,970",0
NIGHTIES PSS,RO4115,NON BR,100465,4,"1,990.00","7,960","1,990.00","7,960",0
NIGHTIES PSS,NK638,NON BR,100466,3,"1,990.00","5,970","1,990.00","5,970",0
NIGHTIES PSS,NK614,NONB,100526,3,"1,990.00","5,970","1,990.00","5,970",0
NIGHTIES PSS,BO9002,BONDY,100527,7,"4,990.00","34,930","4,990.00","34,930",0
NIGHTIES PSS,NU5935,NURTEKS,100571,1,"7,590.00","7,590","7,590.00","7,590",0
NIGHTIES PSS,NU5665,NURTEKS,100634,14,"6,840.00","95,760","6,990.00","97,860","-2,100"
NIGHTIES PSS,NK673,NON B,100635,7,"2,250.00","15,750","2,250.00","15,750",0
NIGHTIES PSS,NK684,NON B,100636,4,"2,350.00","9,400","2,350.00","9,400",0
NIGHTIES PSS,NK680,NON B,100637,8,"3,250.00","26,000","3,250.00","26,000",0
NIGHTIES S+G,NK0053,NON BR,100075,6,"4,395.00","26,370","4,395.00","26,370",0
NIGHTIES S+G,NK8309,NON BR,100076,8,"3,990.00","31,920","3,990.00","31,920",0
NIGHTIES S+G,NKAB33,NON BR,100077,6,"3,590.00","21,540","3,590.00","21,540",0
NIGHTIES S+G,PC4107,PIER CARDIN,100078,5,"6,870.00","34,350","7,990.00","39,950","-5,600"
NIGHTIES S+G,PC4105,PIER CARDIN,100079,6,"6,590.00","39,540","6,590.00","39,540",0
NIGHTIES S+G,NL1370,NILAY,100080,5,"6,790.00","33,950","7,590.00","37,950","-4,000"
NIGHTIES S+G,NK6511,NON BR,100276,4,"3,590.00","14,360","3,590.00","14,360",0
NIGHTIES S+G,NKAB-33,NON BR,100319,2,"3,590.00","7,180","3,590.00","7,180",0
NIGHTIES S+G,NK6318,NON B,100403,5,"3,710.00","18,550","3,590.00","17,950",600
NIGHTIES S+G,BO9006,BONDY,100429,1,"5,595.00","5,595","5,595.00","5,595",0
NIGHTIES S+G,NL1480,NILAY,100430,2,"6,590.00","13,180","7,590.00","15,180","-2,000"
NIGHTIES S+G,NK760,NON BR,100448,3,"3,590.00","10,770","3,590.00","10,770",0
NIGHTIES S+G,VB2164,VELABELLA,100551,4,"9,990.00","39,960","9,990.00","39,960",0
NIGHTIES S+G,PC4285,PIERECARDIN,100552,3,"10,056.67","30,170","10,590.00","31,770","-1,600"
NIGHTIES S+G,NK1226,NON B,100594,10,"3,690.00","36,900","3,690.00","36,900",0
NIGHTIES S+G,CR53233,CAROLINE,100595,3,"5,856.67","17,570","5,290.00","15,870","1,700"
NIGHTIES S+G,CR54222BIG,CAROLINE,100596,3,"5,690.00","17,070","5,690.00","17,070",0
NIGHTIES SHORT,NC1160,NON BR,100059,2,"2,095.00","4,190","2,095.00","4,190",0
NIGHTIES SHORT,NCA588599,NON BR,100060,45,"1,895.00","85,275","1,895.00","85,275",0
NIGHTIES SHORT,SH845,NON BR,100061,5,"1,995.00","9,975","1,995.00","9,975",0
NIGHTIES SHORT,VISELLAMIX,NON BR,100062,8,"2,195.00","17,560","2,195.00","17,560",0
NIGHTIES SHORT,NK1784,NON BR,100063,4,"1,390.00","5,560","1,390.00","5,560",0
NIGHTIES SHORT,NK0949,NON BR,100064,4,"1,390.00","5,560","1,390.00","5,560",0
NIGHTIES SHORT,NK1813,NON BR,100065,6,"2,095.00","12,570","2,095.00","12,570",0
NIGHTIES SHORT,BO5365,BONDY,100066,3,"3,050.00","9,150","3,590.00","10,770","-1,620"
NIGHTIES SHORT,BO5333,BONDY,100067,2,"3,050.00","6,100","3,050.00","6,100",0
NIGHTIES SHORT,NL368,NILAY,100068,3,"3,250.00","9,750","3,250.00","9,750",0
NIGHTIES SHORT,NL384,NILAY,100070,3,"3,250.00","9,750","3,250.00","9,750",0
NIGHTIES SHORT,NL336,NILAY,100071,2,"3,250.00","6,500","3,250.00","6,500",0
NIGHTIES SHORT,PC601,PIER CARDIN,100072,8,"3,590.00","28,720","3,590.00","28,720",0
NIGHTIES SHORT,PC613,PIER CARDIN,100073,3,"3,290.00","9,870","3,290.00","9,870",0
NIGHTIES SHORT,PC627,PIER CARDIN,100074,12,"4,323.33","51,880","4,990.00","59,880","-8,000"
NIGHTIES SHORT,BO5372,BONDY,100269,2,"3,190.00","6,380","3,190.00","6,380",0
NIGHTIES SHORT,NKS15309,NON BR,100270,2,"1,490.00","2,980","1,490.00","2,980",0
NIGHTIES SHORT,NK1238,NON BR,100271,4,"2,090.00","8,360","2,090.00","8,360",0
NIGHTIES SSC,SVMSHORTS,SEVIM,100277,3,"2,995.00","8,985","2,995.00","8,985",0
NIGHTIES SSC,ANSHORTS,ANIL,100478,2,"2,695.00","5,390","2,695.00","5,390",0
NIGHTIES SSC,IP5148,IPEKTEN,100905,3,"2,990.00","8,970","2,990.00","8,970",0
NIGHTIES SSC,SU3905,SUDE,101302,1,"2,590.00","2,590","2,590.00","2,590",0
NIGHTIES SSC,DS31773,NON B,101239,3,"1,690.00","5,070","1,690.00","5,070",0
NIGHTIES SSC,EL3334,NON B,101240,2,"2,590.00","5,180","2,590.00","5,180",0
NIGHTIES SSC,IP6255,IPEKTEN,101241,2,"2,590.00","5,180","2,590.00","5,180",0
NIGHTIES SSC,IP6121,IPEKTEN,101242,2,"2,790.00","5,580","2,790.00","5,580",0
NIGHTIES SSS,NU5509,NURTEKS,100531,3,"3,590.00","10,770","3,990.00","11,970","-1,200"
NIGHTIES SSS,NC6624,NONB,100549,7,"2,027.14","14,190","1,990.00","13,930",260
NIGHTIES SSS,PC400,PIERRE CARDIN,100632,2,"4,490.00","8,980","4,490.00","8,980",0
NIGHTIES SSS,PC420,PIERRE CARDIN,100633,2,"4,690.00","9,380","4,690.00","9,380",0
NIGHTIES SSS,NCA207,NON B,100703,28,"2,204.29","61,720","2,290.00","64,120","-2,400"
NIGHTIES SSS,NU5521,NURTEKS,100780,7,"4,990.00","34,930","4,990.00","34,930",0
NIGHTIES SSS,NU5519,NURTEKS,100850,1,"4,790.00","4,790","4,790.00","4,790",0
NIPPLE SILICON PAD,NKNSP011,NON BR,100258,12,300,"3,600",300,"3,600",0
PAJAMA (COTTON/SILK/JOGING),HP85,NONB,100243,46,995,"45,770",995,"45,770",0
PAJAMA (COTTON/SILK/JOGING),SP521,NON BR,100361,6,"1,290.00","7,740","1,290.00","7,740",0
PAJAMA (COTTON/SILK/JOGING),NK311,NON B,100579,5,"1,490.00","7,450","1,490.00","7,450",0
PAJAMA (COTTON/SILK/JOGING),NK2012,NONB,100580,2,"1,990.00","3,980","1,990.00","3,980",0
PAJAMA (COTTON/SILK/JOGING),PJ002,PAJAMA,100774,10,700,"7,000",700,"7,000",0
PAJAMA (COTTON/SILK/JOGING),KPJ750,KALIPLI,100895,31,"1,150.00","35,650","1,150.00","35,650",0
PAJAMA (COTTON/SILK/JOGING),NK820,NON B,101078,1,"1,490.00","1,490","1,490.00","1,490",0
PAJAMA (COTTON/SILK/JOGING),SY7090,NON B,101079,1,750,750,750,750,0
PAJAMA (COTTON/SILK/JOGING),ST001,NON B,101080,7,900,"6,300",900,"6,300",0
PAJAMA (COTTON/SILK/JOGING),NKTR24,NON B,101081,19,990,"18,810",990,"18,810",0
PAJAMA (COTTON/SILK/JOGING),PL889,POEM LIFE,101286,5,"1,350.00","6,750","1,350.00","6,750",0
PAJAMA (COTTON/SILK/JOGING),RN001,NON B,101170,11,950,"10,450",950,"10,450",0
PANTIES,MF1202,MISSFIT,100121,49,742.65,"36,390",950,"46,550","-10,160"
PANTIES,CH04490849,COTTONHILL,100122,38,350,"13,300",350,"13,300",0
PANTIES,CH0203,COTTONHILL,100123,13,400,"5,200",400,"5,200",0
PANTIES,CH0298BIG,COTTONHILL,100124,12,400,"4,800",400,"4,800",0
PANTIES,CH0558,COTTONHILL,100125,12,450,"5,400",450,"5,400",0
PANTIES,CH4968,COTTONHILL,100127,34,410.29,"13,950",400,"13,600",350
PANTIES,CH4962,COTTONHILL,100128,94,367.55,"34,550",400,"37,600","-3,050"
PANTIES,CH4970,COTTONHILL,100129,12,300,"3,600",300,"3,600",0
PANTIES,CH04620993,COTTONHILL,100130,18,300,"5,400",300,"5,400",0
PANTIES,LL38694,LADYLYC,100131,30,400,"12,000",400,"12,000",0
PANTIES,LL526619BIG,LADYLYC,100132,10,400,"4,000",400,"4,000",0
PANTIES (BIG),LL38696,LADYLYC,100134,41,350,"14,350",350,"14,350",0
PANTIES (BIG),LL52860,LADYLYC,100308,13,400,"5,200",400,"5,200",0
PANTIES (BIG),I610B,NONB,101197,13,400,"5,200",400,"5,200",0
PANTIES (BIG),I332B,NONB,101205,10,450,"4,500",450,"4,500",0
PANTIES/PO3,LL8920,LADYLYC,100136,346,717.63,"248,300",800,"276,800","-28,500"
PANTIES/PO3,AN2657-2.6,ANIL,100142,309,903.4,"279,150","1,300.00","401,700","-122,550"
PANTIES/PO3,AN2659,ANIL,100143,395,"1,162.97","459,375","1,500.00","592,500","-133,125"
PANTIES/PO3,GP532,GIRLISH,100253,42,800,"33,600",800,"33,600",0
PANTIES/PO3,CH4008,NON B,100414,18,700,"12,600",700,"12,600",0
PANTIES/PO3,KO39750,KOZABIAT,100958,36,950,"34,200",950,"34,200",0
PANTIES/PO3,AN2657,ANIL,101077,18,"1,291.67","23,250","1,300.00","23,400",-150
PANTIES/PO3,STAIN01,NON B,101304,2,550,"1,100",550,"1,100",0
PANTIES/PO3,DO55000,DOMINENT,101138,12,"1,050.00","12,600","1,050.00","12,600",0
PANTIES/PO3,MP003,MISS PUDRA,101173,80,780,"62,400",780,"62,400",0
PANTIES/PO3,DR0500,DOREN,101174,9,"1,000.00","9,000","1,000.00","9,000",0
PANTIES/PO5,B1001,NON B,100959,111,"1,000.00","111,000","1,000.00","111,000",0
PANTIES/PO7,PR001,NON B,100763,21,"1,190.00","24,990","1,190.00","24,990",0
PANTIES/PO7,B3052,NON B,100764,16,500,"8,000",500,"8,000",0
PANTY,NK626,NON BR,100493,32,400,"12,800",400,"12,800",0
PANTY,SH1373,NONB,100547,105,350,"36,750",350,"36,750",0
PANTY,A2445,NON B,100674,16,300,"4,800",300,"4,800",0
PRETTY MAKEUP,BBCREAM,B B CREAM,100705,20,950,"19,000",950,"19,000",0
PRETTY MAKEUP,B-POWDER28,BAKED POWDER,100706,24,"1,850.00","44,400","1,850.00","44,400",0
PRETTY MAKEUP,BLUSH,BLUSH,100707,20,900,"18,000",900,"18,000",0
PRETTY MAKEUP,BLUSH-B,BLUSH BAKED,100708,24,"1,850.00","44,400","1,850.00","44,400",0
PRETTY MAKEUP,BLUSH-M,BLUSH MATTE,100709,16,900,"14,400",900,"14,400",0
PRETTY MAKEUP,CONCEALER-CUL,CONCEALER COVER U,100711,20,"1,100.00","22,000","1,100.00","22,000",0
PRETTY MAKEUP,CONCEALER-S,CONCEALER STICK,100712,20,900,"18,000",900,"18,000",0
PRETTY MAKEUP,EPENCIL,EYE PENCIL,100713,48,450,"21,600",450,"21,600",0
PRETTY MAKEUP,EPENCIL-S,EYE PENCIL STYLER,100714,36,600,"21,600",600,"21,600",0
PRETTY MAKEUP,ESHADOW-Q,EYE SHADOW QUART,100715,20,"1,250.00","25,000","1,250.00","25,000",0
PRETTY MAKEUP,ESHADOW-S,EYE SHADOW SINGL,100716,52,700,"36,400",700,"36,400",0
PRETTY MAKEUP,ESHADOW-SM,EYE SHADOW SINGL,100717,28,700,"19,600",700,"19,600",0
PRETTY MAKEUP,EBPENCIL-S,EYE BROW PENCIL S,100720,16,450,"7,200",450,"7,200",0
PRETTY MAKEUP,EBSHADOW,EYEBROW SHADOW,100721,16,800,"12,800",800,"12,800",0
PRETTY MAKEUP,ELINER-GB,EYE LINER GEL BK,100722,4,"1,400.00","5,600","1,400.00","5,600",0
PRETTY MAKEUP,ELINER-LB,EYE LINER LIQUID B,100723,4,900,"3,600",900,"3,600",0
PRETTY MAKEUP,ELINER-P,EYE LINER PEN,100724,4,900,"3,600",900,"3,600",0
PRETTY MAKEUP,ELINER-UDLB,EYE LINER ULTIMATE,100725,4,"1,050.00","4,200","1,050.00","4,200",0
PRETTY MAKEUP,FOUNDATION-CU,FOUNDATION COVER,100726,24,"1,900.00","45,600","1,900.00","45,600",0
PRETTY MAKEUP,FOUNDATION-MF,FOUNDATION MATT,100727,24,"1,900.00","45,600","1,900.00","45,600",0
PRETTY MAKEUP,FOUNDATION-WL,FOUNDATION WEIG,100728,24,"1,900.00","45,600","1,900.00","45,600",0
PRETTY MAKEUP,LBALM,LIP BALM,100729,12,450,"5,400",450,"5,400",0
PRETTY MAKEUP,LGLOSS-ST,LIP GLOSS STAY TRU,100730,44,750,"33,000",750,"33,000",0
PRETTY MAKEUP,LPENCIL,LIP PENCIL,100731,32,350,"11,200",350,"11,200",0
PRETTY MAKEUP,LPENCIL-S,LIP PENCIL STYLER,100732,48,350,"16,800",350,"16,800",0
PRETTY MAKEUP,LSTICK-E,LIP STICK ESSENTIA,100734,80,750,"60,000",750,"60,000",0
PRETTY MAKEUP,LSTICK-M,LIP STICK MATTE,100735,48,850,"40,800",850,"40,800",0
PRETTY MAKEUP,LSTICK-ML,LIP STICK MATTE LIQ,100736,24,"1,150.00","27,600","1,150.00","27,600",0
PRETTY MAKEUP,LSTICK-ST,LIP STICK STAY TRU,100737,44,850,"37,400",850,"37,400",0
PRETTY MAKEUP,MASCARA-AIOB,MASKARA ALL IN ON,100739,4,950,"3,800",950,"3,800",0
PRETTY MAKEUP,MASCARA-CB,MASKARA CURLING B,100740,8,850,"6,800",850,"6,800",0
PRETTY MAKEUP,NENAMEL-E,NAIL ENAMEL ESSENT,100743,60,355,"21,300",375,"22,500","-1,200"
PRETTY MAKEUP,NENAMEL-M,NAIL ENAMEL MATTE,100744,60,403.75,"24,225",425,"25,500","-1,275"
PRETTY MAKEUP,PPOWDER,PRESS POWDER,100745,24,"1,350.00","32,400","1,350.00","32,400",0
PRETTY MAKEUP,PPOWDER-MF,PRESS POWDER MAT,100746,24,"1,350.00","32,400","1,350.00","32,400",0
PRETTY MAKEUP,SHARPNER,SHARPNER,100747,4,300,"1,200",300,"1,200",0
PRETTY MAKEUP,MUBASE,MAKE UP BASE,100750,4,"1,800.00","7,200","1,800.00","7,200",0
PRETTY MAKEUP,MASCARA-LB,MASCARA LENGTHEN,100753,4,950,"3,800",950,"3,800",0
PRETTY MAKEUP,EBMASCARA,EYEBROW MASCARA,100754,8,"1,100.00","8,800","1,100.00","8,800",0
SHAPER/CONTROLER,MF34313,MISSFIT,100144,45,"1,617.11","72,770","1,650.00","74,250","-1,480"
SHAPER/CONTROLER,MF34314,MISSFIT,100145,64,"1,894.38","121,240","1,990.00","127,360","-6,120"
SHAPER/CONTROLER,MF1255,MISSFIT,100146,27,"2,478.89","66,930","2,990.00","80,730","-13,800"
SHAPER/CONTROLER,MF33636,MISSFIT,100147,34,"1,503.53","51,120","1,850.00","62,900","-11,780"
SHAPER/CONTROLER,MF1037,MISSFIT,100148,85,"1,869.29","158,890","1,990.00","169,150","-10,260"
SHAPER/CONTROLER,BO10000-4.2,BONDY,100149,14,"1,590.00","22,260","1,590.00","22,260",0
SHAPER/CONTROLER,BO10003,BONDY,100150,14,"2,090.00","29,260","2,090.00","29,260",0
SHAPER/CONTROLER,AN2476,ANIL,100151,38,"2,345.26","89,120","2,990.00","113,620","-24,500"
SHAPER/CONTROLER,AN2513,ANIL,100152,20,"6,650.00","133,000","8,990.00","179,800","-46,800"
SHAPER/CONTROLER,AN2518,ANIL,100153,14,"5,147.14","72,060","6,990.00","97,860","-25,800"
SHAPER/CONTROLER,NZ9001,NAZIK,100352,11,"1,553.64","17,090","1,490.00","16,390",700
SHAPER/CONTROLER,NZ9005,NAZIK,100437,11,990,"10,890",990,"10,890",0
SHAPER/CONTROLER,NZ9003,NAZIK,100438,23,"1,581.30","36,370","1,490.00","34,270","2,100"
SHAPER/CONTROLER,MF1227,MISSFIT,100546,4,"1,550.00","6,200","1,550.00","6,200",0
SHAPER/CONTROLER,MF17332,MISS FIT,100606,8,"2,165.00","17,320","1,990.00","15,920","1,400"
SHAPER/CONTROLER,MF1228,MISS FIT,100804,21,"2,194.76","46,090","1,950.00","40,950","5,140"
SHAPER/CONTROLER,NZ9020,NAZIK,101045,9,"2,190.00","19,710","2,190.00","19,710",0
SHAPER/CONTROLER,BO10001-4.2,BONDY,101047,3,"1,590.00","4,770","1,590.00","4,770",0
SHAPER/CONTROLER,MF14001,MISSFIT,101139,1,"1,990.00","1,990","1,990.00","1,990",0
SHAPER/CONTROLER,MF14002,MISSFIT,101140,4,"1,990.00","7,960","1,990.00","7,960",0
SHORT SUIT,YISHORTS,YENI INCI,100095,5,"2,595.00","12,975","2,595.00","12,975",0
SHORT SUIT,SVM4962,SEVIM,100278,2,"2,695.00","5,390","2,695.00","5,390",0
SHORT SUIT,CR92904,CAROLINE,100522,4,"2,590.00","10,360","2,590.00","10,360",0
SHORT SUIT,DS31775,DEEP SLEEP,100806,16,"1,696.25","27,140","1,690.00","27,040",100
SHORT SUIT,DS12082,DEEP SLEEP,100807,4,"2,590.00","10,360","2,590.00","10,360",0
SHORT SUIT,EL1315,ELITOL,100904,4,"2,590.00","10,360","2,590.00","10,360",0
SHORT SUIT,CR92307,CAROLINE,101059,1,"2,590.00","2,590","2,590.00","2,590",0
SHORT SUIT,DS1282,DEEP SLEEP,101060,2,"2,590.00","5,180","2,590.00","5,180",0
SHORT SUIT,DS12061,DEEP SLEEP,101061,1,"2,590.00","2,590","2,590.00","2,590",0
SHORT SUIT,AN9590,ANIL,101062,1,"2,590.00","2,590","2,590.00","2,590",0
SILICON BRA,FBTN523,NON BR,100257,13,995,"12,935",995,"12,935",0
SILICON BRA,FBTN014,NOR BR,100351,6,"1,195.00","7,170","1,195.00","7,170",0
STARTERS,SBC387,SABINA,100568,4,"1,680.00","6,720","1,680.00","6,720",0
STARTERS,SBC370,SABINA,100573,4,"1,640.00","6,560","1,640.00","6,560",0
STARTERS,D6208,NON B,101019,2,750,"1,500",750,"1,500",0
STARTERS,A8309,NON B,101276,12,370,"4,440",370,"4,440",0
STARTERS,A1926,NON B,101277,14,550,"7,700",550,"7,700",0
STARTERS,KO80070,CANSOY,101279,24,"1,390.00","33,360","1,390.00","33,360",0
STOKINGS,IT1108,ITALIANA,100255,3,500,"1,500",500,"1,500",0
STOKINGS,IT2208,ITALIANA,100256,4,670,"2,680",670,"2,680",0
STOKINGS,I1323,ITALIANA,100367,2,400,800,400,800,0
STOKINGS,I1272,ITALIANA,100368,3,400,"1,200",400,"1,200",0
STOKINGS,I1198,ITALIANA,100369,4,400,"1,600",400,"1,600",0
STOKINGS,I1546,ITALIANA,100370,3,400,"1,200",400,"1,200",0
STOKINGS,I1326,ITALIANA,100371,7,400,"2,800",400,"2,800",0
STOKINGS,I1447,ITALIANA,100372,4,400,"1,600",400,"1,600",0
STOKINGS,I1216,ITALIANA,100373,7,400,"2,800",400,"2,800",0
STOKINGS,I10081,ITALIANA,100374,7,400,"2,800",400,"2,800",0
STOKINGS,I1808,ITALIANA,100375,6,400,"2,400",400,"2,400",0
STOKINGS,I2731,ITALIANA,100376,6,400,"2,400",400,"2,400",0
STOKINGS,NK9026522,NON B,100377,18,650,"11,700",650,"11,700",0
STOKINGS,I1108,ITALIANA,100378,13,500,"6,500",500,"6,500",0
STOKINGS,I2390,ITALIANA,100379,4,"1,100.00","4,400","1,100.00","4,400",0
STOKINGS,I2208,ITALIANA,100380,8,750,"6,000",750,"6,000",0
STOKINGS,IT2184,ITALIANA,101145,3,670,"2,010",670,"2,010",0
STRAPS,SH01-B,NON BR,100157,196,164.54,"32,250",200,"39,200","-6,950"
SWIM SUITS,BL1493,NON BR,100155,1,"1,750.00","1,750","1,750.00","1,750",0
THERMAL,NBB626,NBB,100363,5,"1,650.00","8,250",0,0,"8,250"
THERMAL,AN8533,ANIL,100364,7,"1,850.00","12,950","1,850.00","12,950",0
THERMAL,AN8532,ANIL,100365,13,"1,750.00","22,750","1,750.00","22,750",0
THERMAL,AN8531,ANIL8531,100366,16,"1,450.00","23,200","1,450.00","23,200",0
THERMAL,MS02023649,M&S,100623,15,"2,500.00","37,500","2,500.00","37,500",0
TIDES,NKS118,NON BR,100286,6,995,"5,970",995,"5,970",0
TIDES,NK5118,NON B,100896,3,995,"2,985",995,"2,985",0
TIDES,NY6105,NOYA,101171,11,"1,150.00","12,650","1,350.00","14,850","-2,200"
T-SHIRTS,USP66004,U S POLO,100914,6,"2,500.00","15,000","2,500.00","15,000",0
