Date,Price,Open,High,Low,Change %
"Dec 01, 2021",174.98,176.1,176.1,174.8,-0.42%
"Nov 30, 2021",175.72,176.5,176.575,174.6,-0.16%
"Nov 29, 2021",176,176.15,176.66,175.1,0.40%
"Nov 26, 2021",175.3,175.555,176.735,174.5,0.11%
"Nov 25, 2021",175.11,175.65,175.65,174.6,-0.11%
"Nov 24, 2021",175.3,175.275,175.66,174.05,0.43%
"Nov 23, 2021",174.55,175.25,175.285,173.45,0.03%
"Nov 22, 2021",174.5,174.85,175.46,171.3,-0.13%
"Nov 19, 2021",174.73,175.2,175.45,173.08,0.19%
"Nov 18, 2021",174.4,175.125,175.21,173.25,0.09%
"Nov 17, 2021",174.25,173.75,175.385,173,0.00%
"Nov 16, 2021",174.25,175.1,175.55,173.55,0.03%
"Nov 15, 2021",174.2,175.625,175.75,173.75,-0.60%
"Nov 12, 2021",175.25,173.75,175.775,172.775,1.01%
"Nov 11, 2021",173.5,172.45,174.15,172.45,0.73%
"Nov 10, 2021",172.25,171.25,173,171.25,0.77%
"Nov 09, 2021",170.93,170.25,171.95,170.25,0.67%
"Nov 08, 2021",169.8,169.78,170.675,169.74,0.12%
"Nov 05, 2021",169.6,170.075,170.18,169.45,0.01%
"Nov 04, 2021",169.58,169.7,170.6,169.4,0.02%
"Nov 03, 2021",169.54,170.15,170.445,169.19,-0.20%
"Nov 02, 2021",169.88,170.95,171.93,169.7,-0.79%
"Nov 01, 2021",171.24,171.4,172.045,170.45,-0.18%
"Oct 30, 2021",171.55,171.7,171.7,171.7,0.69%
"Oct 29, 2021",170.38,171.95,172.185,170.865,-0.80%
"Oct 28, 2021",171.75,173.225,173.235,171.4,-1.15%
"Oct 27, 2021",173.75,175.3,175.525,172.45,-0.49%
"Oct 26, 2021",174.6,174.65,175.535,174.2,0.17%
"Oct 25, 2021",174.3,173.78,174.66,173.5,0.20%
"Oct 22, 2021",173.95,173.6,174.56,173.2,0.43%
"Oct 21, 2021",173.2,173.6,174.075,172.4,0.00%
"Oct 20, 2021",173.2,172.625,173.67,172.35,0.55%
"Oct 19, 2021",172.25,172.5,172.655,172.29,0.15%
"Oct 18, 2021",172,170.5,173.15,170.5,0.58%
"Oct 15, 2021",171,171.25,171.315,170.35,0.00%
"Oct 14, 2021",171,171.125,171.325,170.5,0.15%
"Oct 13, 2021",170.75,171.25,171.35,170.35,-0.15%
"Oct 12, 2021",171,171.075,171.325,170.075,0.21%
"Oct 11, 2021",170.65,170.875,171.075,169.95,0.23%
"Oct 08, 2021",170.25,170.875,171.09,169.7,0.00%
"Oct 07, 2021",170.25,171.125,171.19,169.95,-0.29%
"Oct 06, 2021",170.75,171,171.215,170.29,0.15%
"Oct 05, 2021",170.5,171,171.05,170.3,0.06%
"Oct 04, 2021",170.4,170.625,171.065,170.075,0.38%
"Oct 01, 2021",169.75,171,171.015,169.65,-0.44%
"Sep 30, 2021",170.5,170.875,171.065,169.75,0.15%
"Sep 29, 2021",170.25,170.3,171.005,169.565,0.38%
"Sep 28, 2021",169.6,169.7,170.465,169.3,0.12%
"Sep 27, 2021",169.4,169.45,169.845,168.725,0.30%
"Sep 24, 2021",168.9,169.4,169.54,168.69,0.06%
"Sep 23, 2021",168.8,169.125,169.455,168.19,0.33%
"Sep 22, 2021",168.25,169.15,169.28,167.9,-0.03%
"Sep 21, 2021",168.3,169.25,169.25,168.14,-0.12%
"Sep 20, 2021",168.5,168.15,169.34,167.675,0.62%
"Sep 17, 2021",167.46,168.15,168.215,167.2,-0.02%
"Sep 16, 2021",167.5,169.625,169.625,166.8,-1.03%
"Sep 15, 2021",169.25,168.2,169.69,168.2,0.80%
"Sep 14, 2021",167.9,168.2,168.95,167.905,0.00%
"Sep 13, 2021",167.9,167.73,168.315,167.45,0.00%
"Sep 11, 2021",167.9,168.025,168.025,168.025,0.00%
"Sep 10, 2021",167.9,168,168.215,167.115,0.24%
"Sep 09, 2021",167.5,167.75,168.015,166.75,0.30%
"Sep 08, 2021",167,168,168.04,166.55,-0.30%
"Sep 07, 2021",167.5,167.1,168.055,166.895,0.48%
"Sep 06, 2021",166.7,166.85,167.25,165.625,0.12%
"Sep 03, 2021",166.5,167.26,167.26,166.4,-0.31%
"Sep 02, 2021",167.02,167,167.315,166.125,0.31%
"Sep 01, 2021",166.5,166.875,167.155,166.25,0.15%
"Aug 31, 2021",166.25,165.8,166.89,165.525,0.79%
"Aug 30, 2021",164.94,166.6,166.7,165.18,-0.46%
"Aug 27, 2021",165.7,166.75,166.75,165.5,-0.18%
"Aug 26, 2021",166,165.875,166.865,165.275,0.15%
"Aug 25, 2021",165.75,165.375,166.325,164.85,0.61%
"Aug 24, 2021",164.75,164.6,165.555,164.15,0.33%
"Aug 23, 2021",164.2,164.525,164.675,163.75,0.09%
"Aug 20, 2021",164.05,164.3,164.54,163.75,0.28%
"Aug 19, 2021",163.6,164.3,164.465,163.835,0.00%
"Aug 18, 2021",163.6,164.3,164.485,163.965,0.00%
"Aug 17, 2021",163.6,164.55,164.58,163.58,-0.30%
"Aug 16, 2021",164.1,164.3,164.565,163.56,0.31%
"Aug 13, 2021",163.6,164.3,164.565,163.125,0.00%
"Aug 12, 2021",163.6,164.425,164.48,163.05,-0.15%
"Aug 11, 2021",163.85,164.25,164.525,163.285,0.21%
"Aug 10, 2021",163.5,164.375,164.44,163.1,-0.15%
"Aug 09, 2021",163.75,163.2,164.455,163.125,0.40%
"Aug 06, 2021",163.1,164.2,164.2,162.525,-0.18%
"Aug 05, 2021",163.4,163.3,164.255,161.95,-0.06%
"Aug 04, 2021",163.5,163.8,164.45,162.95,0.52%
"Aug 03, 2021",162.65,163.625,164.6,162.1,-0.37%
"Aug 02, 2021",163.25,162.375,163.875,161.375,0.93%
"Jul 30, 2021",161.75,162.25,162.73,161.575,0.15%
"Jul 29, 2021",161.5,162.25,162.405,160.9,0.00%
"Jul 28, 2021",161.5,161,162.415,160.95,0.31%
"Jul 27, 2021",161,161.4,162.125,159.8,0.00%
"Jul 26, 2021",161,162.375,162.6,160.05,-0.28%
"Jul 23, 2021",161.46,160.85,162.43,160.69,0.47%
"Jul 22, 2021",160.7,160.85,160.96,159.555,0.00%
"Jul 21, 2021",160.7,160.85,160.975,160.8,0.00%
"Jul 20, 2021",160.7,160.85,160.95,160.825,0.00%
"Jul 19, 2021",160.7,159.5,161.575,159.35,1.07%
"Jul 16, 2021",159,159.5,160,158.95,0.00%
"Jul 15, 2021",159,159.25,159.5,158.45,0.32%
"Jul 14, 2021",158.5,159.5,159.675,158.625,-0.31%
"Jul 13, 2021",159,159.7,159.7,159.075,-0.25%
"Jul 12, 2021",159.4,159.45,159.885,158.8,0.31%
"Jul 09, 2021",158.9,159.5,159.77,158.55,-0.06%
"Jul 08, 2021",159,159.15,159.815,158.365,0.44%
"Jul 07, 2021",158.3,158.275,159.44,157.85,0.16%
"Jul 06, 2021",158.05,158.15,159.175,157.775,0.23%
"Jul 05, 2021",157.68,157.85,158.32,157.5,0.11%
"Jul 02, 2021",157.5,157.575,157.94,157.27,-0.19%
"Jul 01, 2021",157.8,158.055,158.495,157.785,0.17%
"Jun 30, 2021",157.53,157.5,158.35,156.8,-0.36%
"Jun 29, 2021",158.1,157.875,159.125,157.275,0.22%
"Jun 28, 2021",157.75,157.3,158.45,157.275,0.19%
"Jun 26, 2021",157.45,157.6,157.6,157.6,-0.10%
"Jun 25, 2021",157.6,157.8,158.45,157.125,0.00%
"Jun 24, 2021",157.6,157.9,158.45,157.075,-0.13%
"Jun 23, 2021",157.8,157.875,158.725,157.585,0.03%
"Jun 22, 2021",157.75,157.5,158.35,157.125,0.48%
"Jun 21, 2021",157,157.25,157.895,156.55,0.32%
"Jun 18, 2021",156.5,157.325,157.48,155.95,-0.10%
"Jun 17, 2021",156.65,157.25,157.515,155.95,0.10%
"Jun 16, 2021",156.5,157.125,157.515,156.275,0.16%
"Jun 15, 2021",156.25,155.875,157.315,155.76,0.32%
"Jun 14, 2021",155.75,155.875,156.225,155.575,0.00%
"Jun 11, 2021",155.75,155.75,156.08,155.07,0.16%
"Jun 10, 2021",155.5,155.575,155.875,155.35,0.10%
"Jun 09, 2021",155.35,155.5,156.15,155.15,0.10%
"Jun 08, 2021",155.19,155.25,156.01,154.7,0.45%
"Jun 07, 2021",154.5,155.15,155.725,154.375,0.13%
"Jun 04, 2021",154.3,155.125,155.41,154.25,0.03%
"Jun 03, 2021",154.25,155.125,155.39,154.3,0.00%
"Jun 02, 2021",154.25,155.125,155.275,154.175,0.00%
"Jun 01, 2021",154.25,154.15,155.225,153.975,1.13%
"May 31, 2021",152.52,154.5,154.5,153.375,-1.15%
"May 28, 2021",154.3,155.25,155.5,154,-0.13%
"May 27, 2021",154.5,155.25,155.59,154.3,0.00%
"May 26, 2021",154.5,154.2,155.34,153.915,0.23%
"May 25, 2021",154.15,153.975,155.125,152.7,0.84%
"May 24, 2021",152.87,153.425,154.245,152.965,0.10%
"May 21, 2021",152.72,153.5,153.58,153.06,-0.18%
"May 20, 2021",153,153.2,153.665,152.7,0.10%
"May 19, 2021",152.85,152.925,153.3,152.7,0.36%
"May 18, 2021",152.3,152.675,152.94,152.575,0.07%
"May 17, 2021",152.2,152.375,152.92,152.115,0.00%
"May 15, 2021",152.2,152.375,152.375,152.375,0.33%
"May 14, 2021",151.7,152.225,152.48,151.75,-0.13%
"May 13, 2021",151.9,151.935,152.405,151.78,0.56%
"May 12, 2021",151.05,152,152.015,151.9,-0.20%
"May 11, 2021",151.35,152.275,154.05,151.925,-0.16%
"May 10, 2021",151.6,152.315,154.05,151.96,-0.21%
"May 07, 2021",151.92,152.7,154.05,151.525,-0.35%
"May 06, 2021",152.45,153.075,154.05,152.05,0.00%
"May 05, 2021",152.45,153.25,154.05,152.375,-0.42%
"May 04, 2021",153.1,153,154.05,152.595,0.16%
"May 03, 2021",152.85,153.25,154.05,152.675,-0.08%
"Apr 30, 2021",152.98,153.45,154.05,153.055,-0.01%
"Apr 29, 2021",153,154.225,154.225,153.125,-0.62%
"Apr 28, 2021",153.95,154.475,155.19,152.9,-0.03%
"Apr 27, 2021",154,153.925,155.19,153.9,0.10%
"Apr 26, 2021",153.85,153.625,154.175,153.075,0.10%
"Apr 24, 2021",153.7,153.875,153.875,153.875,0.29%
"Apr 23, 2021",153.25,153.6,154,152.925,0.03%
"Apr 22, 2021",153.2,153.25,153.69,152.75,0.46%
"Apr 21, 2021",152.5,153.3,153.565,152.58,-0.07%
"Apr 20, 2021",152.6,153.3,153.415,152.575,0.00%
"Apr 19, 2021",152.6,153.25,153.415,152.55,0.07%
"Apr 16, 2021",152.5,152.975,153.415,151.95,-0.03%
"Apr 15, 2021",152.55,152.975,152.975,152.45,-0.03%
"Apr 14, 2021",152.6,152.85,152.875,152.825,0.03%
"Apr 13, 2021",152.55,152.725,153.125,152,-0.03%
"Apr 12, 2021",152.6,152.775,153.2,151.945,0.27%
"Apr 09, 2021",152.19,152.975,153.045,151.95,0.09%
"Apr 08, 2021",152.06,153.075,153.225,152.4,-0.15%
"Apr 07, 2021",152.29,153.175,153.315,152.33,-0.26%
"Apr 06, 2021",152.69,153.575,153.575,152.725,0.39%
"Apr 05, 2021",152.09,153.1,153.84,152.645,-0.56%
"Apr 02, 2021",152.94,152.71,153.74,152.405,0.80%
"Apr 01, 2021",151.72,152.825,153.2,151.975,-0.39%
"Mar 31, 2021",152.32,153.15,153.25,151.2,-0.28%
"Mar 30, 2021",152.75,154.025,154.25,152.69,-0.81%
"Mar 29, 2021",154,154.3,155.1,153.715,-0.55%
"Mar 26, 2021",154.85,154.6,155.14,154.15,0.37%
"Mar 25, 2021",154.28,155.1,156.075,154.565,-0.94%
"Mar 24, 2021",155.75,156.1,156.125,154.86,0.40%
"Mar 23, 2021",155.13,155.91,156.15,155.585,-0.37%
"Mar 22, 2021",155.7,155.875,156.225,155.185,0.03%
"Mar 19, 2021",155.65,155.125,156.645,155.05,0.79%
"Mar 18, 2021",154.43,155.975,156.14,154.83,-0.85%
"Mar 17, 2021",155.75,156.75,156.76,155.225,-0.43%
"Mar 16, 2021",156.42,157.005,157.125,156.165,-0.19%
"Mar 15, 2021",156.71,156.85,157.275,156.535,-0.06%
"Mar 12, 2021",156.8,156.7,157.36,156.64,-0.03%
"Mar 11, 2021",156.85,156.77,157.325,156.665,0.13%
"Mar 10, 2021",156.65,157,157.26,156.685,0.12%
"Mar 09, 2021",156.46,157.175,157.3,156.63,-0.05%
"Mar 08, 2021",156.54,156.78,157.48,156.715,0.10%
"Mar 05, 2021",156.38,157.425,157.555,156.64,-0.39%
"Mar 04, 2021",157,157.25,157.45,156.975,0.00%
"Mar 03, 2021",157,157.75,157.95,156.815,-0.41%
"Mar 02, 2021",157.65,158.1,159.275,157.285,-0.50%
"Mar 01, 2021",158.45,158.075,159.275,157.545,0.06%
"Feb 27, 2021",158.35,158.45,158.45,158.45,-0.06%
"Feb 26, 2021",158.45,158.3,159.275,157.52,0.13%
"Feb 25, 2021",158.25,159.275,159.375,158.015,-0.09%
"Feb 24, 2021",158.4,158.91,159.45,158.475,-0.14%
"Feb 23, 2021",158.62,159.075,159.25,157.88,-0.11%
"Feb 22, 2021",158.8,159,159.25,158.755,0.03%
"Feb 19, 2021",158.75,158.75,159.215,158.59,0.06%
"Feb 18, 2021",158.65,160.05,160.075,158.49,-0.28%
"Feb 17, 2021",159.1,160.075,160.14,158.92,-0.03%
"Feb 16, 2021",159.15,159.3,160.24,158.85,0.14%
"Feb 15, 2021",158.93,159.3,159.42,158.425,0.30%
"Feb 12, 2021",158.45,159.43,159.43,158.435,-0.38%
"Feb 11, 2021",159.06,159.45,159.5,158.76,-0.03%
"Feb 10, 2021",159.1,159.95,160.325,159.075,-0.28%
"Feb 09, 2021",159.55,160.125,160.575,159.05,0.19%
"Feb 08, 2021",159.25,159.98,160.465,159.38,-0.16%
"Feb 05, 2021",159.5,160.25,160.44,159.735,0.00%
"Feb 04, 2021",159.5,160.45,160.515,159.515,-0.25%
"Feb 03, 2021",159.9,160.4,160.565,159.74,0.06%
"Feb 02, 2021",159.8,160.5,160.565,159.74,-0.12%
"Feb 01, 2021",160,160.3,160.55,159.95,0.25%
"Jan 29, 2021",159.6,160.45,160.69,159.64,-0.19%
"Jan 28, 2021",159.9,160.55,160.64,159.92,-0.12%
"Jan 27, 2021",160.1,160.8,160.86,159.995,-0.31%
"Jan 26, 2021",160.6,160.85,160.91,160.44,-0.06%
"Jan 25, 2021",160.7,160.675,160.915,160.13,0.22%
"Jan 22, 2021",160.35,160.6,162.63,157.63,0.06%
"Jan 21, 2021",160.25,160.55,160.79,160,0.09%
"Jan 20, 2021",160.1,160.55,160.74,159.975,0.00%
"Jan 19, 2021",160.1,160.625,160.88,159.84,-0.09%
"Jan 18, 2021",160.25,160.55,160.725,160.05,0.09%
"Jan 15, 2021",160.1,160.5,160.6,159.75,0.06%
"Jan 14, 2021",160,160.5,160.82,159.705,0.00%
"Jan 13, 2021",160,160.5,160.79,159.9,0.00%
"Jan 12, 2021",160,160.5,160.75,159.915,0.00%
"Jan 11, 2021",160,160.45,160.645,159.84,0.06%
"Jan 08, 2021",159.9,160.375,160.545,159.715,0.09%
"Jan 07, 2021",159.75,160.55,160.8,159.715,-0.22%
"Jan 06, 2021",160.1,160.625,160.625,159.875,-0.09%
"Jan 05, 2021",160.25,160.4,160.825,159.815,0.28%
"Jan 04, 2021",159.8,160.375,160.645,159.6,0.03%
"Jan 01, 2021",159.75,160.375,160.375,160.375,0.00%
"Dec 31, 2020",159.75,160.5,164.125,159.25,-0.16%
"Dec 30, 2020",160,160.5,160.615,159.865,0.00%
"Dec 29, 2020",160,160.65,160.665,159.965,-0.19%
"Dec 28, 2020",160.3,160.275,160.825,159.88,0.39%
"Dec 24, 2020",159.68,160.65,160.675,159.835,-0.45%
"Dec 23, 2020",160.4,160.67,160.985,159.93,0.06%
"Dec 22, 2020",160.3,160.45,160.895,159.95,0.38%
"Dec 21, 2020",159.7,160.1,160.83,159.95,0.00%
"Dec 18, 2020",159.7,159.9,160.475,159.535,-0.19%
"Dec 17, 2020",160,160.45,160.525,159.79,0.08%
"Dec 16, 2020",159.88,160.25,160.74,159.955,-0.14%
"Dec 15, 2020",160.1,160.125,160.78,159.83,0.06%
"Dec 14, 2020",160,160.125,160.585,159.785,0.09%
"Dec 11, 2020",159.85,160.305,160.575,159.655,-0.09%
"Dec 10, 2020",160,160.34,160.635,159.84,-0.02%
"Dec 09, 2020",160.03,160.4,160.695,159.88,-0.01%
"Dec 08, 2020",160.04,160.275,160.695,159.805,0.02%
"Dec 07, 2020",160,160.08,160.575,159.78,0.13%
"Dec 04, 2020",159.8,160.1,160.525,159.5,0.01%
"Dec 03, 2020",159.78,160.25,160.715,159.795,-0.14%
"Dec 02, 2020",160,159.495,160.49,159.25,0.57%
"Dec 01, 2020",159.09,159.5,162.73,159.05,0.18%
"Nov 30, 2020",158.8,159.425,159.605,159.025,0.03%
"Nov 28, 2020",158.75,159.24,159.24,159.24,-0.16%
"Nov 27, 2020",159,159.175,159.525,158.75,0.00%
"Nov 26, 2020",159,159.6,159.6,158.675,-0.06%
"Nov 25, 2020",159.1,160.125,160.125,158.685,-0.75%
"Nov 24, 2020",160.3,161.065,161.065,159.33,-0.25%
"Nov 23, 2020",160.7,160.775,161.26,160.195,0.09%
"Nov 20, 2020",160.55,160.625,161,160.095,0.31%
"Nov 19, 2020",160.05,158.175,160.915,157.86,0.98%
"Nov 18, 2020",158.5,158.15,160.155,157.91,0.38%
"Nov 17, 2020",157.9,158.05,158.445,157.68,0.00%
"Nov 16, 2020",157.9,158.08,158.325,157.84,-0.06%
"Nov 13, 2020",158,158.3,158.525,157.825,0.40%
"Nov 12, 2020",157.37,158.475,160.75,157.81,-0.01%
"Nov 11, 2020",157.38,158.775,158.96,157.89,-0.71%
"Nov 10, 2020",158.5,158.875,159.45,158.305,0.14%
"Nov 09, 2020",158.28,159.175,159.23,158.455,-0.45%
"Nov 07, 2020",159,159.175,159.175,159.175,0.19%
"Nov 06, 2020",158.7,159.525,159.625,158.7,-0.25%
"Nov 05, 2020",159.1,159.7,160.205,159,-0.01%
"Nov 04, 2020",159.11,160.075,160.41,159.365,-0.46%
"Nov 03, 2020",159.85,160.1,160.205,159.705,0.13%
"Nov 02, 2020",159.65,160.275,160.435,159.7,-0.22%
"Oct 30, 2020",160,160.41,160.66,160.12,-0.05%
"Oct 29, 2020",160.08,160.625,160.74,160,-0.17%
"Oct 28, 2020",160.35,160.8,160.9,160.18,-0.19%
"Oct 27, 2020",160.65,161.55,161.55,160.53,0.02%
"Oct 26, 2020",160.62,161.55,161.62,160.655,-0.33%
"Oct 23, 2020",161.15,161.4,162.075,160.7,0.16%
"Oct 22, 2020",160.89,162.225,162.41,161.37,-0.26%
"Oct 21, 2020",161.31,162.1,162.48,161.41,0.11%
"Oct 20, 2020",161.14,162.35,162.65,161.56,-0.68%
"Oct 19, 2020",162.25,162.575,162.84,161.745,0.06%
"Oct 16, 2020",162.15,162.55,163,162.055,-0.37%
"Oct 15, 2020",162.75,163.8,163.8,162.035,0.15%
"Oct 14, 2020",162.51,163.825,163.95,162.735,-0.23%
"Oct 13, 2020",162.89,163.825,164.04,163.115,-0.53%
"Oct 12, 2020",163.75,163.8,164,163.65,0.24%
"Oct 09, 2020",163.35,163.625,164.07,163.395,-0.03%
"Oct 08, 2020",163.4,164.025,164.075,163.325,-0.01%
"Oct 07, 2020",163.42,164.02,164.675,163.59,-0.12%
"Oct 06, 2020",163.61,164.525,165.05,163.785,-0.19%
"Oct 05, 2020",163.92,164.725,165.75,163.685,0.03%
"Oct 02, 2020",163.87,165.2,167.75,164.07,-0.27%
"Oct 01, 2020",164.32,165.8,165.865,164.65,-0.65%
"Sep 30, 2020",165.4,165.875,165.95,165.525,0.34%
"Sep 29, 2020",164.84,165.95,166.21,165.23,-0.64%
"Sep 28, 2020",165.9,166.3,166.425,165.305,0.72%
"Sep 25, 2020",164.71,166.075,166.375,165.205,-0.60%
"Sep 24, 2020",165.7,166.3,166.3,165.395,0.20%
"Sep 23, 2020",165.37,166.2,166.46,165.63,-0.41%
"Sep 22, 2020",166.05,166.125,166.525,165.63,0.54%
"Sep 21, 2020",165.16,165.75,166.415,165.505,-0.08%
"Sep 18, 2020",165.29,165.85,166.5,165.545,-0.43%
"Sep 17, 2020",166,166.3,166.56,165.95,0.03%
"Sep 16, 2020",165.95,166.3,166.83,165.87,0.34%
"Sep 15, 2020",165.39,166.025,166.605,165.63,-0.16%
"Sep 14, 2020",165.65,166.05,166.51,165.81,0.23%
"Sep 11, 2020",165.27,166.25,166.67,165.585,-0.13%
"Sep 10, 2020",165.49,166.4,166.73,165.855,-0.27%
"Sep 09, 2020",165.93,166.25,166.715,166.035,-0.04%
"Sep 08, 2020",166,165.65,166.475,165.255,0.24%
"Sep 07, 2020",165.6,165.95,166.13,165.25,-0.06%
"Sep 05, 2020",165.7,166,166,166,0.09%
"Sep 04, 2020",165.55,165.5,166.165,165.055,0.09%
"Sep 03, 2020",165.4,165.5,166.325,165.11,0.28%
"Sep 02, 2020",164.94,165.55,165.8,165.22,-0.05%
"Sep 01, 2020",165.02,165.575,165.925,165.22,0.26%
"Aug 31, 2020",164.59,166.55,166.6,165.195,-1.13%
"Aug 28, 2020",166.47,167.3,167.7,166,0.00%
"Aug 27, 2020",166.47,168.5,168.5,166.825,-0.91%
"Aug 26, 2020",168,168.5,168.8,167.8,0.00%
"Aug 25, 2020",168,168.4,168.64,167.955,0.12%
"Aug 24, 2020",167.8,168.4,168.655,167.88,0.00%
"Aug 21, 2020",167.8,168.5,168.615,167.73,-0.12%
"Aug 20, 2020",168,168.345,168.695,167.635,0.24%
"Aug 19, 2020",167.6,168.25,168.59,167.75,-0.09%
"Aug 18, 2020",167.75,168.5,168.59,167.375,-0.15%
"Aug 17, 2020",168,168.125,168.57,167.375,0.45%
"Aug 14, 2020",167.25,168.25,168.25,168.125,-0.15%
"Aug 13, 2020",167.5,168.25,168.53,165.875,0.00%
"Aug 12, 2020",167.5,168.45,168.59,167.585,-0.24%
"Aug 11, 2020",167.9,168.5,168.755,167.5,-0.06%
"Aug 10, 2020",168,168.4,168.77,165.875,0.12%
"Aug 07, 2020",167.8,168.55,168.755,166.8,-0.18%
"Aug 06, 2020",168.1,168.25,168.75,167.435,0.36%
"Aug 05, 2020",167.5,167.5,168.615,167.25,0.12%
"Aug 04, 2020",167.3,166.85,168.3,166.34,0.64%
"Aug 03, 2020",166.23,166.9,167.735,165.875,-0.63%
"Jul 31, 2020",167.28,167.33,167.64,167,0.12%
"Jul 30, 2020",167.08,165.875,167.75,165.84,0.66%
"Jul 29, 2020",165.99,166.765,167.16,165.875,-0.04%
"Jul 28, 2020",166.05,166.85,167.235,165.95,-0.27%
"Jul 27, 2020",166.5,167.1,167.7,166.25,-0.54%
"Jul 25, 2020",167.4,167.7,167.7,167.7,0.25%
