"Date, Cases"
Date,Cases
22/1/2020,0
23/1/2020,0
24/1/2020,0
25/1/2020,0
26/1/2020,0
27/1/2020,0
28/1/2020,0
29/1/2020,0
30/1/2020,0
31/1/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/2/2020,0
14/2/2020,0
15/2/2020,0
16/2/2020,0
17/2/2020,0
18/2/2020,0
19/2/2020,0
20/2/2020,0
21/2/2020,0
22/2/2020,0
23/2/2020,0
24/2/2020,0
25/2/2020,2
26/2/2020,2
27/2/2020,2
28/2/2020,4
29/2/2020,4
01/03/2020,4
02/03/2020,5
03/03/2020,5
04/03/2020,5
05/03/2020,6
06/03/2020,6
07/03/2020,6
08/03/2020,6
09/03/2020,16
10/03/2020,19
11/03/2020,20
12/03/2020,28
13/3/2020,31
14/3/2020,53
15/3/2020,136
16/3/2020,236
17/3/2020,299
18/3/2020,454
19/3/2020,501
20/3/2020,730
21/3/2020,776
22/3/2020,875
23/3/2020,972
24/3/2020,1063
25/3/2020,1201
26/3/2020,1373
27/3/2020,1495
28/3/2020,1597
29/3/2020,1717
30/3/2020,1938
31/3/2020,2118
01/04/2020,2421
02/04/2020,2686
03/04/2020,2818
04/04/2020,3157
05/04/2020,3766
06/04/2020,4035
07/04/2020,4263
08/04/2020,4489
09/04/2020,4695
10/04/2020,5011
11/04/2020,5230
12/04/2020,5496
13/4/2020,5837
14/4/2020,6383
15/4/2020,6919
16/4/2020,7025
17/4/2020,7638
18/4/2020,8348
19/4/2020,8418
20/4/2020,9565
21/4/2020,10076
22/4/2020,11155
23/4/2020,11940
24/4/2020,12723
25/4/2020,13328
26/4/2020,13915
27/4/2020,14612
28/4/2020,15525
29/4/2020,16817
30/4/2020,18114
01/05/2020,19103
02/05/2020,20084
03/05/2020,20941
04/05/2020,22049
05/05/2020,24073
06/05/2020,24644
07/05/2020,26435
08/05/2020,28736
09/05/2020,30334
10/05/2020,32081
11/05/2020,34336
12/05/2020,35298
13/5/2020,35788
14/5/2020,38799
15/5/2020,38799
16/5/2020,40151
17/5/2020,42125
18/5/2020,43966
19/5/2020,45898
20/5/2020,48091
21/5/2020,50694
22/5/2020,52437
23/5/2020,54601
24/5/2020,56349
25/5/2020,57705
26/5/2020,59151
27/5/2020,61227
28/5/2020,64028
29/5/2020,66457
30/5/2020,69496
31/5/2020,72460
01/06/2020,76398
02/06/2020,80463
03/06/2020,85264
04/06/2020,89249
05/06/2020,93983
06/06/2020,98943
07/06/2020,103671
08/06/2020,108317
09/06/2020,113702
10/06/2020,119536
11/06/2020,125933
12/06/2020,125933
13/6/2020,132405
14/6/2020,144478
15/6/2020,148921
16/6/2020,154760
17/6/2020,160118
18/6/2020,165062
19/6/2020,171666
20/6/2020,176617
21/6/2020,181088
22/6/2020,185034
23/6/2020,188926
24/6/2020,192970
25/6/2020,195745
26/6/2020,198883
27/6/2020,202955
28/6/2020,206512
29/6/2020,209337
30/6/2020,213470
01/07/2020,217809
02/07/2020,221896
03/07/2020,221896
04/07/2020,225283
05/07/2020,231818
06/07/2020,234509
07/07/2020,237489
08/07/2020,240848
09/07/2020,243599
10/07/2020,246351
11/07/2020,248872
12/07/2020,251625
13/7/2020,253604
14/7/2020,255769
15/7/2020,257914
16/7/2020,257914
17/7/2020,261917
18/7/2020,263496
19/7/2020,265083
20/7/2020,266096
21/7/2020,267428
22/7/2020,269191
23/7/2020,270400
24/7/2020,271887
25/7/2020,273113
26/7/2020,273113
27/7/2020,274289
28/7/2020,275225
29/7/2020,276288
30/7/2020,277402
31/7/2020,278305
01/08/2020,278305
02/08/2020,279699
03/08/2020,280461
04/08/2020,280461
05/08/2020,281136
06/08/2020,281863
07/08/2020,282645
08/08/2020,283487
09/08/2020,284121
10/08/2020,284660
11/08/2020,285191
12/08/2020,285921
13/8/2020,286674
14/8/2020,287300
15/8/2020,288047
16/8/2020,289215
17/8/2020,289215
18/8/2020,289832
19/8/2020,290445
20/8/2020,290958
21/8/2020,291588
22/8/2020,292174
23/8/2020,293261
24/8/2020,293261
25/8/2020,293711
26/8/2020,294193
27/8/2020,294638
28/8/2020,295053
29/8/2020,295372
30/8/2020,295636
31/8/2020,295849
01/09/2020,296149
02/09/2020,297014
03/09/2020,297512
04/09/2020,298025
05/09/2020,298025
06/09/2020,298903
07/09/2020,299233
08/09/2020,299659
09/09/2020,300030
10/09/2020,300371
11/09/2020,300955
12/09/2020,301481
13/9/2020,302020
14/9/2020,302424
15/9/2020,303089
16/9/2020,303634
17/9/2020,304386
18/9/2020,305031
19/9/2020,305671
20/9/2020,306304
21/9/2020,306886
22/9/2020,307418
23/9/2020,308217
24/9/2020,309015
25/9/2020,309581
26/9/2020,310275
27/9/2020,310841
28/9/2020,311516
29/9/2020,312263
30/9/2020,312806
01/10/2020,313431
02/10/2020,313984
03/10/2020,314616
04/10/2020,314616
05/10/2020,315727
06/10/2020,316351
07/10/2020,316934
08/10/2020,317595
09/10/2020,318266
10/10/2020,318932
11/10/2020,319317
12/10/2020,319848
13/10/2020,320463
14/10/2020,321218
15/10/2020,321877
16/10/2020,322452
17/10/2020,323019
18/10/2020,323452
19/10/2020,324034
20/10/2020,324744
21/10/2020,325480
22/10/2020,326216
23/10/2020,327063
24/10/2020,327895
25/10/2020,328602
26/10/2020,329375
27/10/2020,330200
28/10/2020,331108
29/10/2020,332186
30/10/2020,332993
31/10/2020,333970
01/11/2020,335093
02/11/2020,336260
03/11/2020,337573
04/11/2020,338875
05/11/2020,340251
06/11/2020,341753
07/11/2020,343189
08/11/2020,344839
09/11/2020,346476
10/11/2020,348184
11/11/2020,349992
12/11/2020,352296
13/11/2020,354461
14/11/2020,356904
15/11/2020,359032
16/11/2020,361082
17/11/2020,363380
18/11/2020,365927
19/11/2020,368665
20/11/2020,371508
21/11/2020,374173
22/11/2020,376929
23/11/2020,379883
24/11/2020,382892
25/11/2020,386198
26/11/2020,389311
27/11/2020,392356
28/11/2020,395185
29/11/2020,398024
30/11/2020,400482
01/12/2020,403311
02/12/2020,406810
03/12/2020,410072
04/12/2020,413191
05/12/2020,416499
06/12/2020,420294
07/12/2020,423179
08/12/2020,426142
09/12/2020,429280
10/12/2020,432327
11/12/2020,435056
12/12/2020,438425
13/12/2020,440787
14/12/2020,443246
15/12/2020,445977
16/12/2020,448522
17/12/2020,451494
18/12/2020,454673
19/12/2020,457288
20/12/2020,458968
21/12/2020,460672
22/12/2020,462814
23/12/2020,465070
24/12/2020,467222
25/12/2020,469482
26/12/2020,471335
27/12/2020,473309
28/12/2020,475085
29/12/2020,477240
30/12/2020,479715
31/12/2020,482178
01/01/2021,484362
02/01/2021,486634
03/01/2021,488529
04/01/2021,490476
05/01/2021,492594
06/01/2021,495075
07/01/2021,497510
08/01/2021,499517
09/01/2021,502416
10/01/2021,504293
11/01/2021,506701
12/01/2021,508824
13/1/2021,511921
14/1/2021,514338
15/1/2021,516770
16/1/2021,519291
17/1/2021,521211
18/1/2021,523011
19/1/2021,524783
20/1/2021,527146
21/1/2021,528891
22/1/2021,530818
23/1/2021,532412
24/1/2021,534041
25/1/2021,535914
26/1/2021,537477
27/1/2021,539387
28/1/2021,541031
29/1/2021,543214
30/1/2021,544813
31/1/2021,546428
01/02/2021,547648
02/02/2021,549032
03/02/2021,550540
04/02/2021,551842
05/02/2021,553128
06/02/2021,554474
07/02/2021,555511
08/02/2021,556519
09/02/2021,557591
10/02/2021,559093
11/02/2021,560363
12/02/2021,561625
13/2/2021,563029
14/2/2021,564077
15/2/2021,564077
16/2/2021,565989
17/2/2021,567261
18/2/2021,568506
19/2/2021,569846
20/2/2021,571174
21/2/2021,572334
22/2/2021,573384
23/2/2021,574580
24/2/2021,575941
25/2/2021,577482
26/2/2021,578797
27/2/2021,579973
28/2/2021,581365
01/03/2021,582528
02/03/2021,583916
03/03/2021,585435
04/03/2021,587014
05/03/2021,588728
06/03/2021,590508
07/03/2021,592100
08/03/2021,593453
09/03/2021,595239
10/03/2021,597497
11/03/2021,600198
12/03/2021,602536
13/3/2021,605200
14/3/2021,607453
15/3/2021,609964
16/3/2021,612315
17/3/2021,615810
18/3/2021,619259
19/3/2021,623135
20/3/2021,626802
21/3/2021,630471
22/3/2021,633741
23/3/2021,637042
24/3/2021,640988
25/3/2021,645356
26/3/2021,649824
27/3/2021,654591
28/3/2021,659116
29/3/2021,663200
30/3/2021,667957
31/3/2021,672931
01/04/2021,678165
02/04/2021,682888
03/04/2021,687908
04/04/2021,692231
05/04/2021,696184
06/04/2021,700188
07/04/2021,705517
08/04/2021,710829
09/04/2021,715968
10/04/2021,721018
11/04/2021,725602
12/04/2021,729920
13/4/2021,734423
14/4/2021,739818
15/4/2021,745182
16/4/2021,750158
17/4/2021,756285
18/4/2021,761437
19/4/2021,766882
20/4/2021,772381
21/4/2021,778238
22/4/2021,784108
23/4/2021,790016
24/4/2021,795627
25/4/2021,800452
26/4/2021,804939
27/4/2021,810231
28/4/2021,815711
29/4/2021,820823
30/4/2021,825519
01/05/2021,829933
02/05/2021,834146
03/05/2021,837523
04/05/2021,837523
05/05/2021,841636
06/05/2021,850131
07/05/2021,854240
08/05/2021,858026
09/05/2021,861473
10/05/2021,864557
11/05/2021,867438
12/05/2021,870703
13/5/2021,873220
14/5/2021,874751
15/5/2021,877130
16/5/2021,880362
17/5/2021,882928
18/5/2021,886184
19/5/2021,890391
20/5/2021,893461
21/5/2021,897468
22/5/2021,900552
23/5/2021,903599
24/5/2021,905852
25/5/2021,908576
26/5/2021,911302
27/5/2021,913784
28/5/2021,916239
29/5/2021,918936
30/5/2021,921053
31/5/2021,922824
01/06/2021,924667
02/06/2021,926695
03/06/2021,928588
04/06/2021,930511
05/06/2021,932140
06/06/2021,933630
07/06/2021,935013
08/06/2021,936131
09/06/2021,937434
10/06/2021,938737
11/06/2021,939931
12/06/2021,941170
13/6/2021,942189
14/6/2021,943027
15/6/2021,944065
16/6/2021,945184
17/6/2021,946227
18/6/2021,947218
19/6/2021,947218
20/6/2021,949175
21/6/2021,949838
22/6/2021,950768
23/6/2021,951865
24/6/2021,952907
25/6/2021,953842
26/6/2021,954743
27/6/2021,955657
28/6/2021,956392
29/6/2021,957371
30/6/2021,958408
01/07/2021,959685
02/07/2021,961085
03/07/2021,962313
04/07/2021,963660
05/07/2021,964490
06/07/2021,966007
07/07/2021,967633
08/07/2021,969476
09/07/2021,971304
10/07/2021,973284
11/07/2021,975092
12/07/2021,976867
13/7/2021,978847
14/7/2021,981392
15/7/2021,983719
16/7/2021,986668
17/7/2021,989275
18/7/2021,991727
19/7/2021,993872
20/7/2021,996451
21/7/2021,998609
22/7/2021,1000034
23/7/2021,1000034
24/7/2021,1004694
25/7/2021,1008446
26/7/2021,1011708
27/7/2021,1015827
28/7/2021,1020324
29/7/2021,1024861
30/7/2021,1029811
31/7/2021,1034837
01/08/2021,1039695
02/08/2021,1043277
03/08/2021,1047999
04/08/2021,1053660
05/08/2021,1058405
06/08/2021,1063125
07/08/2021,1067580
08/08/2021,1071620
09/08/2021,1075504
10/08/2021,1080360
11/08/2021,1085294
12/08/2021,1089913
13/8/2021,1094699
14/8/2021,1098410
15/8/2021,1102079
16/8/2021,1105300
17/8/2021,1109274
18/8/2021,1113647
19/8/2021,1116886
20/8/2021,1119970
21/8/2021,1123812
22/8/2021,1127584
23/8/2021,1131659
24/8/2021,1135858
25/8/2021,1140411
26/8/2021,1144341
27/8/2021,1148572
28/8/2021,1152481
29/8/2021,1156281
30/8/2021,1160119
31/8/2021,1163688
01/09/2021,1167757
02/09/2021,1171578
03/09/2021,1171578
04/09/2021,1179305
05/09/2021,1182918
06/09/2021,1186234
07/09/2021,1190136
08/09/2021,1194198
09/09/2021,1197887
10/09/2021,1201367
11/09/2021,1204520
12/09/2021,1207508
13/9/2021,1210082
14/9/2021,1212809
15/9/2021,1215821
16/9/2021,1218749
17/9/2021,1221261
18/9/2021,1223841
19/9/2021,1226008
20/9/2021,1227905
21/9/2021,1230238
22/9/2021,1232595
23/9/2021,1234828
24/9/2021,1236888
25/9/2021,1238668
26/9/2021,1240425
27/9/2021,1241825
28/9/2021,1243385
29/9/2021,1245127
30/9/2021,1246538
01/10/2021,1248202
02/10/2021,1249858
03/10/2021,1251348
04/10/2021,1252656
05/10/2021,1253868
06/10/2021,1255321
07/10/2021,1256233
08/10/2021,1257188
09/10/2021,1258015
10/10/2021,1258959
11/10/2021,1259648
12/10/2021,1260669
13/10/2021,1261685
14/10/2021,1262771
15/10/2021,1263664
16/10/2021,1264384
17/10/2021,1265047
18/10/2021,1265650
19/10/2021,1266204
20/10/2021,1266826
21/10/2021,1267393
22/10/2021,1267945
23/10/2021,1268536
24/10/2021,1269234
25/10/2021,1269806
26/10/2021,1270322
27/10/2021,1271027
28/10/2021,1271687
29/10/2021,1272345
30/10/2021,1273078
31/10/2021,1273560
01/11/2021,1274017
02/11/2021,1274578
03/11/2021,1275158
04/11/2021,1275673
05/11/2021,1276240
06/11/2021,1276711
07/11/2021,1277160
08/11/2021,1277560
09/11/2021,1278114
10/11/2021,1278751
11/11/2021,1279142
12/11/2021,1279373
13/11/2021,1279373
14/11/2021,1279876
15/11/2021,1280092
16/11/2021,1280362
17/11/2021,1280822
18/11/2021,1281240
19/11/2021,1281559
20/11/2021,1281872
21/11/2021,1282195
22/11/2021,1282510
23/11/2021,1282860
24/11/2021,1283223
25/11/2021,1283475
26/11/2021,1283886
27/11/2021,1284189
28/11/2021,1284365
29/11/2021,1284840
30/11/2021,1285254
01/12/2021,1285631
02/12/2021,1286022
03/12/2021,1286453
04/12/2021,1286825
05/12/2021,1287161
06/12/2021,1287393
07/12/2021,1287703
08/12/2021,1288053
09/12/2021,1288366
10/12/2021,1288761
11/12/2021,1289049
12/12/2021,1289293
13/12/2021,1289543
14/12/2021,1289913
15/12/2021,1290214
16/12/2021,1290491
17/12/2021,1290491
18/12/2021,1291108
19/12/2021,1291467
20/12/2021,1291737
21/12/2021,1292047
22/12/2021,1292406
23/12/2021,1292728
24/12/2021,1293081
25/12/2021,1293440
26/12/2021,1293715
27/12/2021,1294031
28/12/2021,1294379
29/12/2021,1294861
30/12/2021,1295376
31/12/2021,1295933
01/01/2022,1296527
02/01/2022,1297235
03/01/2022,1297865
04/01/2022,1298763
05/01/2022,1299848
06/01/2022,1301141
07/01/2022,1302486
08/01/2022,1304058
09/01/2022,1305707
10/01/2022,1307174
11/01/2022,1309248
12/01/2022,1312267
13/1/2022,1315834
14/1/2022,1320120
15/1/2022,1324147
16/1/2022,1328487
17/1/2022,1333521
18/1/2022,1338993
19/1/2022,1345801
20/1/2022,1353479
21/1/2022,1360019
22/1/2022,1367605
23/1/2022,1374800
24/1/2022,1381152
25/1/2022,1386348
